tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Abdulkadir AKSU Anadolu Lisesi Bahçesi,İSTANBUL,NAZIM HİKMET,ESENYURT,CUMHURİYET,28.646860753231653,41.01951761117499,151347426,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Ihlamur Parkı,İSTANBUL,NAZIM HİKMET,ESENYURT,CUMHURİYET,28.646860753231653,41.01951761117499,151347424,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Cumhuriyet Parkı,İSTANBUL,NECİP FAZIL KISAKÜREK,ESENYURT,BARBAROS HAYRETTİN PAŞA,28.646860753231653,41.01951761117499,151347451,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Yunus Balta Parkı,İSTANBUL,HÜRRİYET,ESENYURT,MEVLANA,28.649242006463307,41.01951761117499,151347385,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Nazım Hikmet Bulvarı - 2068 Sk. Kesişimi Toplanma Alanı,İSTANBUL,NAZIM HİKMET,ESENYURT,CUMHURİYET,28.65162325969496,41.01951761117499,151347427,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Yürüyüş Parkı,İSTANBUL,NAZIM HİKMET,ESENYURT,CUMHURİYET,28.65281388631079,41.01951761117499,151347423,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
1981. Sokak Parkı,İSTANBUL,NAZIM HİKMET,ESENYURT,CUMHURİYET,28.65281388631079,41.01951761117499,151347425,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
15 Temmuz Şehitler Anadolu Lisesi Bahçesi ,İSTANBUL,2268.,ESENYURT,PİRİ REİS,28.648051428563594,41.02041592234998,151347413,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Ahmet Keleş ilkokulu Bahçesi,İSTANBUL,2073.,ESENYURT,YEŞİLKENT,28.65400503260052,41.02311085587496,151347408,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Fidan Sokak Kreş Parkı,İSTANBUL,591.,ESENYURT,HÜRRİYET,28.645670207816714,41.024009167049954,151347435,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Kıraç Limak Türker İlkokulu Bahçesi,İSTANBUL,591.,ESENYURT,HÜRRİYET,28.6456702240591,41.02490747822495,151347436,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Esenyurt İhsan Nakipoğlu Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,2073.,ESENYURT,YEŞİLKENT,28.654005422417764,41.02580578939994,151347407,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
Toplum Sağlığı Merkezi Bahçesi,İSTANBUL,595.,ESENYURT,NECİP FAZIL KISAKÜREK,28.652814795822536,41.02670410057493,151347422,"[<POLYGON ((28.655 41.02, 28.655 41.02, 28.655 41.02, 28.655 41.021, 28.655 4...>]"
