tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Okçular Tekkesi Spor Tesisi,İSTANBUL,FATİH SULTAN MİNBERİ,BEYOĞLU,KEÇECİ PİRİ ,28.95949978661468,41.044948611174995,151346898,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Piripaşa İlkokulu Ve Ortaokulu Bahçesi,İSTANBUL,AKÇAY,BEYOĞLU,PİYALEPAŞA ,28.95949978661468,41.044948611174995,151346868,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Ağaçlaraltı Parkı 1,İSTANBUL,ÜST BARUTHANE,BEYOĞLU,KAPTANPAŞA ,28.95949978661468,41.044948611174995,151346846,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Okmeydanı Gençlik Merkezi,İSTANBUL,ŞEN,BEYOĞLU,PİYALEPAŞA ,28.959499802874227,41.04584692234999,151346871,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Ağaçlaraltı Parkı 2,İSTANBUL,ÜST BARUTHANE,BEYOĞLU,KAPTANPAŞA ,28.96188200862268,41.04584692234999,151346847,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Piyale Paşa Cami Önü,İSTANBUL,ÜST BARUTHANE,BEYOĞLU,KAPTANPAŞA ,28.963073111496907,41.04584692234999,151346848,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Piyalepaşa Spor Tesisi Bitişiği Boş Alan,İSTANBUL,EFEM,BEYOĞLU,PİYALEPAŞA ,28.966646420119588,41.04584692234999,151346870,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Piyalepaşa Spor Tesisi,İSTANBUL,KURUDERE,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.966646420119588,41.04584692234999,151350659,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Dikilitaş Parkı,İSTANBUL,BABAPINAR,BEYOĞLU,PİYALEPAŞA ,28.961882057403532,41.04674523352498,151346869,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Fuat Soylu İlköğretim Okulu Bahçesi,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.967837653076085,41.04674523352498,151350591,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Fatma Girik Parkı,İSTANBUL,KURUDERE,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.963073306629152,41.048541855874966,151350590,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Kağıthane İTO Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.95949986791978,41.04944016704996,151348303,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Tülin Manço Parkı,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.95949990044698,41.051236789399944,151348297,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Tülin Manço İlkokulu Bahçesi,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.959499916711685,41.05213510057494,151348304,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
Anadolu Parkı,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.961882350135056,41.05213510057494,151348295,"[<POLYGON ((28.959 41.044, 28.959 41.044, 28.96 41.045, 28.961 41.045, 28.961...>]"
