tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Polonezköy Parkı,İSTANBUL,KESTANELİK,BEYKOZ,POLONEZKÖY,29.201221694907918,41.075968811174995,151346623,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Reşadiye Mesire Alanı,İSTANBUL,İMAR,ÇEKMEKÖY,REŞADİYE,29.201221694907918,41.075968811174995,151347236,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Taşlıca Cami Bahçesi,İSTANBUL,ODABAŞI,ÇEKMEKÖY,MERKEZ,29.201221694907918,41.075968811174995,151347112,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Alemdağ İlkokulu Bahçesi,İSTANBUL,ELMALI,ÇEKMEKÖY,ALEMDAĞ,29.203605627045246,41.07686712234999,151347165,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Çavuşbaşı Erkek Öğrenci Yurdu Yanıdaki Halı Saha ve Çevresi,İSTANBUL,18 NİSAN,BEYKOZ,YAVUZ SELİM,29.197647856780574,41.07776543352498,151346631,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Baklacı Oruç Cami Arkası Park,İSTANBUL,ÇAVUŞBAŞI CUMHURİYET,BEYKOZ,BAKLACI,29.195265015784532,41.07866374469997,151346523,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Hacı Zehra Aydın Camii Bahçesi,İSTANBUL,ÇAVUŞBAŞI CUMHURİYET,BEYKOZ,BAKLACI,29.185732609571648,41.08135867822495,151346525,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
142. Sokak Parkı,İSTANBUL,ELMALI,ÇEKMEKÖY,ALEMDAĞ,29.20360880305393,41.08135867822495,151347167,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Reşadiye Parkı,İSTANBUL,İMAR,ÇEKMEKÖY,REŞADİYE,29.20599429920992,41.08405361174993,151347235,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Görele İlkokulu Bahçesi,İSTANBUL,VEDA,BEYKOZ,GÖRELE,29.177394818180126,41.095731657024835,151346622,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
125/2 Yerde Bulunan Meydan,İSTANBUL,POLONEZKÖY YOLU,BEYKOZ,ZERZAVATÇI,29.179779141807558,41.09662996819983,151346588,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Çengeldere Beyaz Cami Bahçesi (144018),İSTANBUL,BİLGE KAĞAN,BEYKOZ,ÇENGELDERE,29.170243135105242,41.09752827937482,151346598,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Zerzevatçı Mahallesi Camii Bahçesi,İSTANBUL,POLONEZKÖY YOLU,BEYKOZ,ZERZAVATÇI,29.200046471734016,41.10112152407479,151346589,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Cumhuriyet Futbol Sahası,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.239388179392968,41.10291814642478,151346635,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Cumhuriyet Köy Parkı,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.239388179392968,41.10291814642478,151346636,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Derekenarı Yürüyüş Yolu,İSTANBUL,PAŞA,BEYKOZ,MAHMUTŞEVKETPAŞA,29.202432540207543,41.10381645759977,151346594,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Mahmut Şevket Paşa Mahallesi Selam Cami Bahçesi,İSTANBUL,PAŞA,BEYKOZ,MAHMUTŞEVKETPAŞA,29.203625329905623,41.10471476877476,151346650,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Mahmut Şevket Paşa Parkı,İSTANBUL,PAŞA,BEYKOZ,MAHMUTŞEVKETPAŞA,29.208396113806565,41.10740970229974,151346593,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
Bibi Genceli İlköğretim Okulu Bahçesi,İSTANBUL,ZERZEVATCI YOLU,BEYKOZ,ÖRNEKKÖY,29.17740258232776,41.12088436992463,151346564,"[<POLYGON ((29.21 41.09, 29.21 41.09, 29.211 41.091, 29.21 41.091, 29.211 41....>]"
