tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Esenyurt Devlet Hastanesi Döner Kavşak Yeşil Alan ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,AHMET ARİF,ESENYURT,YEŞİLKENT,28.667138130502344,41.029347911174995,151347490,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Pınar Mahallesi Muhtarlığı Yanı Yeşil Alan,İSTANBUL,1272.,ESENYURT,PINAR,28.667138130502344,41.029347911174995,151347488,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Bilal Yazkurt Parkı,İSTANBUL,1272.,ESENYURT,PINAR,28.667138130502344,41.029347911174995,151347448,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
İmam Hasan Camii Avlusu,İSTANBUL,1272.,ESENYURT,PINAR,28.66594742362542,41.03024622234999,151347449,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Hüseyin Görocak Parkı,İSTANBUL,YAŞAR KEMAL,ESENYURT,BAĞLARÇEŞME,28.669519885438127,41.03024622234999,151347428,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Osmanlı Parkı,İSTANBUL,YAŞAR KEMAL,ESENYURT,BAĞLARÇEŞME,28.671901705369034,41.03114453352498,151347429,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Cumhuriyet İlkokulu Bahçesi..,İSTANBUL,ONDOKUZ MAYIS,ESENYURT,FATİH,28.673092542220765,41.03114453352498,151439939,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Uhud Cami Avlusu,İSTANBUL,1308.,ESENYURT,YEŞİLKENT,28.663565977395713,41.032941155874965,151347482,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Kadir Topbaş Parkı,İSTANBUL,AHMET ARİF,ESENYURT,BATTALGAZİ,28.662375156795896,41.03383946704996,151347459,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
İbrahim ÖZAYDIN Ortaokulu Bahçesi,İSTANBUL,1239.,ESENYURT,PINAR,28.66475692799316,41.03383946704996,151347450,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Hz. Ebubekir Camii Avlusu,İSTANBUL,AHMET ARİF,ESENYURT,ÇINAR,28.66832971479257,41.03473777822495,151347467,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Doç. Dr. Hüseyin Çelik İlkokulu Bahçesi,İSTANBUL,AHMET ARİF,ESENYURT,ÇINAR,28.66713892670172,41.035636089399944,151347470,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
1415 Sokak Toplanma Alanı (1220 Ada 5 Parseldeki Dini Tesis Alanı),İSTANBUL,SİVAS KONGRE,ESENYURT,ÇINAR,28.663566237408624,41.036534400574936,151347468,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Koru Park,İSTANBUL,AHMET ARİF,ESENYURT,ÇINAR,28.66713904046509,41.036534400574936,151347466,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Hacı Kamer Torun Camii Bahçesi ve Yanı Yeşil Alan,İSTANBUL,ERZURUM KONGRE,ESENYURT,SELAHADDİN EYYUBİ,28.659993450604805,41.03743271174993,151347378,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
Örnek İlkokulu Bahçesi,İSTANBUL,SİVAS KONGRE,ESENYURT,ÇINAR,28.663566367432757,41.03833102292492,151347471,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
FMV Işık Lisesi Bahçesi ,İSTANBUL,BÜYÜKDERE,SARIYER,PINAR,29.02443319846551,41.109078811174996,151348818,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
İstanbul Teknik Üniversitesi Bahçesi,İSTANBUL,KATAR,SARIYER,REŞİTPAŞA,29.02443319846551,41.109078811174996,151348894,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
İTÜ Stadyumu,İSTANBUL,KATAR,SARIYER,REŞİTPAŞA,29.02443319846551,41.109078811174996,151348895,"[<POLYGON ((28.669 41.036, 28.668 41.037, 28.668 41.037, 28.667 41.037, 28.66...>, <POLYGON ((29.038 41.121, 29.038 41.121, 29.037 41.121, 29.036 41.121, 29.03...>]"
