tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kavakpınar Parkı,İSTANBUL,KÜLHAN,PENDİK,KAVAKPINAR,29.29504111196813,40.87892251117499,151350139,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Burak Güneş Parkı,İSTANBUL,KÜLHAN,PENDİK,KAVAKPINAR,29.29504111196813,40.87892251117499,151350142,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
10369 Ada 2 Parsel Kamuya Ait Boş Arazi,İSTANBUL,ULUBEY,PENDİK,ORHANGAZİ,29.29504111196813,40.87892251117499,151350292,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Özgecan Aslan Parkı,İSTANBUL,KÜLHAN,PENDİK,KAVAKPINAR,29.29385324357344,40.879820822349984,151350152,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
8135 Ada 8 Parsel Kamuya Ait Hisseli Boş Arazi,İSTANBUL,CEBECİ,PENDİK,KAVAKPINAR,29.29266555257166,40.88161744469997,151350144,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Harun Aslan Parkı,İSTANBUL,BEYDEĞİRMENİ,PENDİK,KAVAKPINAR,29.28910193143945,40.88610900057493,151350153,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Ahmet Aslanhan Parkı,İSTANBUL,MAHMUT BAYRAM,PENDİK,KAVAKPINAR,29.287913998639862,40.88790562292492,151350143,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Ramazanoğlu Çocuk Parkı,İSTANBUL,VARLIK,PENDİK,RAMAZANOĞLU,29.284349619604928,40.89149886762489,151350157,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Hüseyin Vassaf Bilgi Evi Yanı Park ve Spor Sahası,İSTANBUL,BOTANİK,PENDİK,GÜLLÜ BAĞLAR,29.281973044273652,40.89239717879988,151350234,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Koca Yusuf Parkı,İSTANBUL,BOTANİK,PENDİK,GÜLLÜ BAĞLAR,29.281973044273652,40.89239717879988,151350233,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Pendik İMKB Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,BOTANİK,PENDİK,GÜLLÜ BAĞLAR,29.283161461017,40.893295489974875,151350239,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Yılmaz Sokak Parkı,İSTANBUL,HAVAALANI İÇ YOLU,PENDİK,SANAYİ,29.290292106740182,40.89599042349985,151350158,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Pendik Mesleki ve Teknik Anadolu Lisesi Antrenman Sahası,İSTANBUL,MUHSİN YAZICIOĞLU,PENDİK,GÜLLÜ BAĞLAR,29.280784950251952,40.896888734674846,151350240,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
100. Yıl Çanakkale Parkı,İSTANBUL,SANAYİ,PENDİK,ŞEYHLİ,29.29148070100781,40.896888734674846,151350358,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Profesör Dr. Ahmet Hamdi Turgut Cami Bahçesi,İSTANBUL,HAVAALANI İÇ YOLU,PENDİK,SANAYİ,29.29266911775846,40.896888734674846,151350159,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Turan Kutlu Parkı,İSTANBUL,HAVAALANI İÇ YOLU,PENDİK,RAMAZANOĞLU,29.29385753450911,40.896888734674846,151350156,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Hidayet Sokak Parkı,İSTANBUL,HAVAALANI İÇ YOLU,PENDİK,SANAYİ,29.296234368010413,40.896888734674846,151350160,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Sezer Yüksel Parkı,İSTANBUL,SANAYİ,PENDİK,ŞEYHLİ,29.289104190286604,40.89868535702483,151350359,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Kemal Ağgez Parkı,İSTANBUL,SANAYİ,PENDİK,ŞEYHLİ,29.285539069167132,40.90048197937482,151350356,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Sanayi Parkı,İSTANBUL,HAVAALANI İÇ YOLU,PENDİK,SANAYİ,29.302177807501398,40.90048197937482,151350161,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Hersek Sokak Parkı,İSTANBUL,SANAYİ,PENDİK,ŞEYHLİ,29.290293171962684,40.90138029054981,151350360,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Şehit Mustafa Piroğlu Parkı,İSTANBUL,OKUL,PENDİK,GÜLLÜ BAĞLAR,29.279596727186888,40.9022786017248,151350236,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
Toki Parkı ve Spor Sahaları,İSTANBUL,ANKARA,PENDİK,SÜLÜNTEPE,29.27840824588022,40.90407522407479,151350338,"[<POLYGON ((29.283 40.892, 29.284 40.891, 29.285 40.891, 29.285 40.891, 29.28...>]"
