tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Rami Pazar Alanı,İSTANBUL,TALİMHANE,EYÜPSULTAN,RAMİ YENİ,28.918660827728736,41.04722001117499,151439981,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Bir Nefes Parkı,İSTANBUL,TALİMHANE,EYÜPSULTAN,RAMİ YENİ,28.918660827728736,41.04722001117499,151347522,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
İBB Şeyh Raşit Parkı,İSTANBUL,ALTUNİZADE BAĞ,EYÜPSULTAN,DÜĞMECİLER,28.918660827728736,41.04722001117499,151347535,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Düğmeciler Parkı,İSTANBUL,AYTEN,EYÜPSULTAN,DÜĞMECİLER,28.922234275960566,41.048118322349985,151347534,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Dikili Ağaç Parkı,İSTANBUL,BOSNA,EYÜPSULTAN,RAMİ CUMA,28.92104318075687,41.04901663352498,151347553,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Arif Paşa Parkı,İSTANBUL,NECİP FAZIL KISAKÜREK,EYÜPSULTAN,İSLAMBEY,28.923425501261452,41.04901663352498,151347588,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Hz. Halid Parkı,İSTANBUL,KARA SÜLEYMAN TEKKE,EYÜPSULTAN,İSLAMBEY,28.925807821766032,41.04901663352498,151347589,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Eyüp Stadı,İSTANBUL,KARA SÜLEYMAN TEKKE,EYÜPSULTAN,İSLAMBEY,28.925807821766032,41.04901663352498,151347590,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Dikiliağaç Parkı,İSTANBUL,ORUÇ,EYÜPSULTAN,İSLAMBEY,28.9222344060607,41.04991494469997,151347604,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
İslambey Bostancı Sk Toplanma Alanı,İSTANBUL,NECİP FAZIL KISAKÜREK,EYÜPSULTAN,İSLAMBEY,28.924616759091048,41.04991494469997,151347591,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Argaç Sokak Parkı,İSTANBUL,NECİP FAZIL KISAKÜREK,EYÜPSULTAN,İSLAMBEY,28.924616759091048,41.04991494469997,151347592,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
Yücel Sk.Parkı,İSTANBUL,MEŞATLIK DERE,GAZİOSMANPAŞA,SARIGÖL,28.9222345361726,41.051711567049956,151347797,"[<POLYGON ((28.917 41.047, 28.918 41.046, 28.919 41.046, 28.919 41.046, 28.91...>]"
