tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Rami Pazar Alanı,İSTANBUL,TALİMHANE,EYÜPSULTAN,RAMİ YENİ,28.916896950734472,41.04624871117499,151439981,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Bir Nefes Parkı,İSTANBUL,TALİMHANE,EYÜPSULTAN,RAMİ YENİ,28.916896950734472,41.04624871117499,151347522,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
İBB Şeyh Raşit Parkı,İSTANBUL,ALTUNİZADE BAĞ,EYÜPSULTAN,DÜĞMECİLER,28.916896950734472,41.04624871117499,151347535,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Plevne Anadolu Lisesi Bahçesi,İSTANBUL,YEŞİL ZÜMRÜT,GAZİOSMANPAŞA,MERKEZ,28.914514828006574,41.048045333524975,151347869,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Dr. Fazıl Küçük Parkı,İSTANBUL,ULUYOL,BAYRAMPAŞA,MURATPAŞA,28.913323717861886,41.04894364469997,151346393,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Dikili Ağaç Parkı,İSTANBUL,GAZİ ETHEMPAŞA,EYÜPSULTAN,RAMİ CUMA,28.91808835358566,41.04894364469997,151347553,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Dökümcüler Parkı,İSTANBUL,ULUYOL,BAYRAMPAŞA,MURATPAŞA,28.912132575193766,41.04984195587496,151346423,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Havuzbaşı Parkı,İSTANBUL,YEŞİL ZÜMRÜT,GAZİOSMANPAŞA,MERKEZ,28.913323750387534,41.04984195587496,151347870,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Muzaffer Öztekin Parkı.,İSTANBUL,ULUYOL,BAYRAMPAŞA,MURATPAŞA,28.912132591457326,41.05074026704995,151346391,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Dikiliağaç Parkı,İSTANBUL,DİKİLİAĞAÇ,EYÜPSULTAN,İSLAMBEY,28.919279854051375,41.051638578224946,151347604,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Yücel Sk.Parkı,İSTANBUL,İSLAMBEY,GAZİOSMANPAŞA,SARIGÖL,28.92047119189327,41.05253688939994,151347797,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
Başkanlık Binası Bahçesi (Aynı Zamanda  TRANSFER ALANIDIR.),İSTANBUL,HAVUZBAŞI,GAZİOSMANPAŞA,MERKEZ,28.915706361009725,41.05343520057493,151347868,"[<POLYGON ((28.919 41.054, 28.918 41.054, 28.918 41.055, 28.918 41.055, 28.91...>]"
