tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gazi Mustafa Kemal Paşa Ortaokulu Bahçesi,İSTANBUL,BAYRAMYERİ,KADIKÖY,OSMANAĞA,29.030042736308033,40.991916211174996,151348061,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Bahariye Altıyol Boğa Karşısı Park,İSTANBUL,BAYRAMYERİ,KADIKÖY,OSMANAĞA,29.030042736308033,40.991916211174996,151348063,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
İhsan Sungu İlkokulu Bahçesi,İSTANBUL,MELTEM,KADIKÖY,RASİMPAŞA,29.030042736308033,40.991916211174996,151348118,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Kuşdili İspark Otoparkı,İSTANBUL,SÖĞÜTLÜÇEŞME,KADIKÖY,OSMANAĞA,29.031232864333703,40.991916211174996,151348062,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Söğütlüçeşme Kapalı Otoparkı,İSTANBUL,SÖĞÜTLÜÇEŞME,KADIKÖY,RASİMPAŞA,29.032422992359372,40.991916211174996,151348119,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Eski İstasyon Binası Önü Otopark,İSTANBUL,ONAN,KADIKÖY,RASİMPAŞA,29.030042930901473,40.99281452234999,151348120,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Özdemiroğlu İmam Hatip Orta Okulu Bahçesi,İSTANBUL,FISTIKLI ÇIKMAZI,KADIKÖY,ACIBADEM,29.03361336362684,40.99281452234999,151348073,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Türk Kadınlar Birliği Parkı,İSTANBUL,TAŞKÖPRÜ,KADIKÖY,ACIBADEM,29.027662966762357,40.994611144699974,151348075,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Natilius AVM Bahçesi,İSTANBUL,TAŞKÖPRÜ,KADIKÖY,ACIBADEM,29.02290235736737,40.995509455874966,151348077,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Halil Türkkan Ortaokulu Bahçesi,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.01814161822724,40.99640776704996,151348085,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Selimiye Futbol Sahası,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.018141683107885,40.998204389399945,151350845,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Gökkuşağı Parkı,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.018141683107885,40.998204389399945,151350844,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Samyeli Futbol Sahası,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.019331924661827,40.998204389399945,151348087,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Sokullu Parkı,İSTANBUL,TAŞKÖPRÜ,KADIKÖY,ACIBADEM,29.028853857093367,40.998204389399945,151348066,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Selimiye İç Parkı,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.016951457775207,40.99910270057494,151350841,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
Öğretmenler Parkı,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.025283521759505,41.00089932292492,151348078,"[<POLYGON ((29.033 40.994, 29.033 40.994, 29.033 40.995, 29.032 40.995, 29.03...>]"
