tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Reşadiye Mesire Alanı,İSTANBUL,159.,ÇEKMEKÖY,REŞADİYE,29.233943957425776,41.064897811174994,151347236,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
142. Sokak Parkı,İSTANBUL,KOZPINAR,ÇEKMEKÖY,ALEMDAĞ,29.233943957425776,41.064897811174994,151347167,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Hüsnü Özyeğin Vakfı Alemdağ Tunç ÇapaAnadolu Lisesi Bahçesi,İSTANBUL,KOZPINAR,ÇEKMEKÖY,ALEMDAĞ,29.233943957425776,41.064897811174994,151347166,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Çatalmeşe Parkı,İSTANBUL,GÜZİDE,ÇEKMEKÖY,ÇATALMEŞE,29.25181567549511,41.064897811174994,151347229,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Dr.Yavuz Kalaycı Parkı,İSTANBUL,GÜZİDE,ÇEKMEKÖY,ÇATALMEŞE,29.25181567549511,41.064897811174994,151347228,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Erhallar Cami Bahçesi,İSTANBUL,GÜZİDE,ÇEKMEKÖY,REŞADİYE,29.255390019108976,41.064897811174994,151347234,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Reşadiye Parkı,İSTANBUL,GÜZİDE,ÇEKMEKÖY,REŞADİYE,29.255390019108976,41.064897811174994,151347235,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Alemdağ Emlak Konut Camii Bahçesi,İSTANBUL,NADİDE,ÇEKMEKÖY,NİŞANTEPE,29.27088797429417,41.074779234099914,151347184,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Polonezköy Parkı,İSTANBUL,TUĞLAOCAĞI ÇIKMAZI,BEYKOZ,POLONEZKÖY,29.218457186654664,41.08106741232486,151346623,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Vali Recep Yazıcıoğlu İlkokulu Bahçesi,İSTANBUL,KAŞMİR,ÇEKMEKÖY,HÜSEYİNLİ,29.27685431766903,41.08286403467485,151347253,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Hüseyinli Parkı,İSTANBUL,SOĞUKPINAR,ÇEKMEKÖY,HÜSEYİNLİ,29.268519088450688,41.09094883524978,151347254,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Cumhuriyet Köy Parkı,İSTANBUL,REŞADİYE,BEYKOZ,CUMHURİYET,29.266136780088818,41.09274545759977,151346636,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
Cumhuriyet Futbol Sahası,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.24945266886678,41.098135324649725,151346635,"[<POLYGON ((29.242 41.066, 29.242 41.066, 29.243 41.067, 29.246 41.068, 29.24...>]"
