tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mana Topçu Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,RUMELİFENERİ,SARIYER,RUMELİKAVAĞI,29.073801147923625,41.19291531117499,151348851,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
R.Güney Kıldıran İlkokulu Bahçesi,İSTANBUL,RUMELİFENERİ,SARIYER,RUMELİKAVAĞI,29.073801147923625,41.19291531117499,151348852,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Yakup Kaptan Topçular Parkı.,İSTANBUL,HAVANTEPE YOLU,SARIYER,YENİ,29.073801147923625,41.19291531117499,151348964,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Acarlar Sitesi Yolu Yeşil Alan,İSTANBUL,RUMELİFENERİ,SARIYER,ZEKERİYAKÖY,29.065445019275987,41.19830517822495,151348959,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Garipçe Köy Parkı,İSTANBUL,RUMELİFENERİ,SARIYER,GARİPÇE,29.07977297127577,41.203695045274905,151348969,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Ormanada Evleri Yeşil Alan,İSTANBUL,SAZLIDERE,SARIYER,USKUMRUKÖY,29.06425144118323,41.20638997879988,151348955,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Demirciköy Parkı,İSTANBUL,SAZLIDERE,SARIYER,DEMİRCİKÖY,29.063057453377485,41.20818660114987,151348921,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Rumelifeneri Halı Sahası ve Yanındaki Boş Arazi,İSTANBUL,RUMELİFENERİ,SARIYER,RUMELİFENERİ,29.084551348675564,41.21088153467485,151348924,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Büyük Park,İSTANBUL,RUMELİFENERİ,SARIYER,RUMELİFENERİ,29.084551660204916,41.21177984584984,151348922,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
Kamil İlhan Parkı,İSTANBUL,KİLYOS,SARIYER,KUMKÖY (KİLYOS),29.069029196198166,41.22166126877476,151348925,"[<POLYGON ((29.065 41.199, 29.065 41.198, 29.066 41.198, 29.067 41.197, 29.06...>]"
