tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Boğaziçi Üniversitesi Kampüsü,İSTANBUL,AŞİYAN YOLU,BEŞİKTAŞ,BEBEK,29.054898838672027,41.08201101117499,151346428,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Doğatepe Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,AŞİYAN YOLU,SARIYER,RUMELİHİSARI,29.054898838672027,41.08201101117499,151348914,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Karayolları FSM Bakım Onarım Alanı,İSTANBUL,BALTALİMANI HİSAR,SARIYER,BALTALİMANI,29.054898838672027,41.08201101117499,151348885,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Türkan Şoray Ortaokulu Bahçesi,İSTANBUL,HİSARÜSTÜ NİSPETİYE,SARIYER,RUMELİHİSARI,29.04774853466616,41.08470594469997,151348915,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Boğaziçi Üniversitesi Sahası,İSTANBUL,ÖZDEN,BEŞİKTAŞ,ETİLER,29.04298132322542,41.08560425587496,151348830,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Demirtaş Ceyhun Parkı,İSTANBUL,TAŞLIBAYIR,SARIYER,BALTALİMANI,29.050132490684096,41.08740087822495,151348882,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
FSM Sezer Sokak Park Alanı,İSTANBUL,SÜLÜN,SARIYER,FATİH SULTAN MEHMET,29.042981372106418,41.08829918939994,151348834,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Dereiçi Parkı (İlhan Selçuk Parkı ),İSTANBUL,BALTALİMANI HİSARÜSTÜ YOLU,SARIYER,BALTALİMANI,29.045365165204682,41.08919750057493,151348881,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Pir Sultan Abdal Cemevi Bahçesi,İSTANBUL,SÜLÜN,SARIYER,FATİH SULTAN MEHMET,29.042981404697443,41.090095811749926,151348833,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
Gül Sokak Parkı,İSTANBUL,BALTALİMANI HİSAR,SARIYER,BALTALİMANI,29.056092551928764,41.09099412292492,151348883,"[<POLYGON ((29.045 41.091, 29.042 41.091, 29.042 41.09, 29.042 41.089, 29.042...>]"
