tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Havantepe Parkı.,İSTANBUL,KARAKÜTÜK,SARIYER,YENİ,29.071084946473512,41.174797111174996,151440380,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
R.Güney Kıldıran İlkokulu Bahçesi,İSTANBUL,KARAKÜTÜK,SARIYER,RUMELİKAVAĞI,29.071084946473512,41.174797111174996,151348852,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Mana Topçu Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,KARAKÜTÜK,SARIYER,RUMELİKAVAĞI,29.071084946473512,41.174797111174996,151348851,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Yakup Kaptan Topçular Parkı.,İSTANBUL,KARAKÜTÜK,SARIYER,YENİ,29.06989179651811,41.17569542234999,151348964,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Balahatun İlkokulu Bahçesi ve Çevresi Yeşil Alan,İSTANBUL,ZÜMRÜT,SARIYER,YENİ,29.066311904791565,41.177492044699974,151348965,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Yadigar Ejder Parkı,İSTANBUL,ŞENTÜRK,SARIYER,MADEN,29.05676429932691,41.18018697822495,151348867,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Hidayetin Bağı Parkı,İSTANBUL,HAVANTEPE,SARIYER,SARIYER MERKEZ,29.05676429932691,41.18018697822495,151348853,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Maden Mahallesi Kurban Kesim Alanı,İSTANBUL,HAVANTEPE,SARIYER,MADEN,29.055570854791245,41.181085289399945,151348871,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
İbrahim Cevher Parkı,İSTANBUL,HAVANTEPE,SARIYER,MADEN,29.054377377517536,41.18198360057494,151348868,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Günübirlik Tesis,İSTANBUL,HAVANTEPE,SARIYER,MADEN,29.051990324747003,41.18378022292492,151348873,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Ozan Restoran,İSTANBUL,HAVANTEPE,SARIYER,MADEN,29.049603124622863,41.184678534099916,151348874,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Acarlar Sitesi Yolu Yeşil Alan,İSTANBUL,RUMELİFENERİ,SARIYER,ZEKERİYAKÖY,29.05079678199493,41.18557684527491,151348959,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Anadolu Kavağı Mahalle Meydanı,İSTANBUL,KAYAKLIMALI,BEYKOZ,ANADOLU KAVAĞI,29.079445017471333,41.187373467624894,151346627,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
Anadolu Kavağı Spor Kulübü Derneği Sahası,İSTANBUL,KAYAKLIMALI,BEYKOZ,ANADOLU KAVAĞI,29.084222169214367,41.19186502349986,151346628,"[<POLYGON ((29.078 41.197, 29.078 41.196, 29.078 41.195, 29.077 41.195, 29.07...>]"
