tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yeni Mahalle Spor Tesisi,İSTANBUL,KAYIN,BEYKOZ,YENİ MAHALLE,29.102259430633364,41.075319311174994,151346517,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Baraj Sok. Parkı,İSTANBUL,KAYIN,BEYKOZ,YENİ MAHALLE,29.102259430633364,41.075319311174994,151346518,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Yenimahalle Kent Ormanı,İSTANBUL,KAYIN,BEYKOZ,YENİ MAHALLE,29.102259430633364,41.075319311174994,151346647,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Göksu Evleri (Park),İSTANBUL,BENT,BEYKOZ,GÖZTEPE,29.101067924172117,41.076217622349986,151346547,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Göksu Parkı,İSTANBUL,BENT,BEYKOZ,GÖZTEPE,29.09868481355608,41.07801424469997,151346550,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Limak Eurasia Karşısı Otoparkı,İSTANBUL,ÇAM PINARI,BEYKOZ,RÜZGARLIBAHÇE,29.10226001691434,41.078912555874965,151346542,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Şehit Er Ersin Güner İlkokulu-Ortaokulu Bahçesi,İSTANBUL,ÇAMLIK,BEYKOZ,GÖZTEPE,29.097493290833988,41.07981086704996,151346551,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Fatih Göztepe Parkı,İSTANBUL,BEREKETLİ,BEYKOZ,FATİH,29.10583531800157,41.07981086704996,151346543,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Otopark (Medistate Hastane Otoparkı Bitişiği),İSTANBUL,CUMHURİYET,BEYKOZ,RÜZGARLIBAHÇE,29.10345220743871,41.08160748939994,151346541,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Göztepe Tabiat Parkı (OSB),İSTANBUL,BEREKETLİ,BEYKOZ,FATİH,29.108219210414195,41.08160748939994,151346546,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Medipol Üniversitesi Bahçesi,İSTANBUL,O - 2,BEYKOZ,KAVACIK,29.096301768134044,41.082505800574936,151346557,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
Erguvan Parkı ve Çevresi Otoparkı,İSTANBUL,ÇAM PINARI,BEYKOZ,RÜZGARLIBAHÇE,29.10226074991504,41.08340411174993,151346539,"[<POLYGON ((29.11 41.097, 29.109 41.098, 29.106 41.104, 29.106 41.104, 29.103...>]"
