tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pazar Alanı (1688 Ada 2 Parsel),İSTANBUL,ORKİDE,ESENYURT,TURGUT ÖZAL,28.693622389691118,41.006406511174994,151347396,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Saadetdere Termal Tesis Bahçesi,İSTANBUL,ORKİDE,ESENYURT,TURGUT ÖZAL,28.693622389691118,41.006406511174994,151347390,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Tevfik Bey Ortaokulu Bahçesi,İSTANBUL,ORKİDE,ESENYURT,TURGUT ÖZAL,28.693622389691118,41.006406511174994,151347395,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Sümbül Parkı,İSTANBUL,109.,ESENYURT,TURGUT ÖZAL,28.694812779382236,41.006406511174994,151347391,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Tonguç Baba Caddesi Toplanma Alanı,İSTANBUL,109.,ESENYURT,TURGUT ÖZAL,28.696003169073354,41.006406511174994,151347393,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Begonya Parkı,İSTANBUL,109.,ESENYURT,TURGUT ÖZAL,28.69719355876447,41.006406511174994,151347392,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Mehmetçik İlkokulu Bahçesi,İSTANBUL,106.,AVCILAR,MUSTAFA KEMALPAŞA,28.69838394845559,41.006406511174994,151345775,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Yıldırım Beyazıt Cad. Toplanma Alanı,İSTANBUL,106.,AVCILAR,MUSTAFA KEMALPAŞA,28.699574338146707,41.006406511174994,151439468,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Avcılar Firuzköy Çok Prog. Anadolu Lisesi Bahçesi,İSTANBUL,FİRUZKÖY BULVARI,AVCILAR,FİRUZKÖY,28.700764955034604,41.00820313352498,151345666,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Deli Orman Parkı,İSTANBUL,FİRUZKÖY BULVARI,AVCILAR,FİRUZKÖY,28.69957463026346,41.00910144469997,151345671,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Avcılar Belediyesi Atatürk Stadyumu Yanı,İSTANBUL,FİRUZKÖY BULVARI,AVCILAR,FİRUZKÖY,28.696003363822275,41.009999755874965,151345663,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
Çiğdem Parkı,İSTANBUL,DOĞAN ARASLI,ESENYURT,AKŞEMSEDDİN,28.696003363822275,41.009999755874965,151347409,"[<POLYGON ((28.692 41.007, 28.693 41.007, 28.693 41.007, 28.694 41.006, 28.69...>]"
