tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Safa İlkokulu Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,SAFA,29.251556282150162,41.00625231117499,151350398,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Akabe Cd. Boş Alan,İSTANBUL,ATATÜRK,SANCAKTEPE,MERVE,29.251556282150162,41.00625231117499,151350390,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Muhabbet Cd. Boş Alan,İSTANBUL,ATATÜRK,SANCAKTEPE,SAFA,29.251556282150162,41.00625231117499,151350401,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Safa Tepesi Sosyal Tesisleri,İSTANBUL,DENK,SANCAKTEPE,YUNUS EMRE,29.25393705596131,41.00625231117499,151350543,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Defne Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,MERVE,29.255127442866883,41.00625231117499,151350545,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Rıdvan Dilmen Spor Parkı,İSTANBUL,NUR YOLU,SANCAKTEPE,MEVLANA,29.256318040734474,41.00715062234998,151350542,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Aydınlı Cd. Boş Alan,İSTANBUL,ATATÜRK,SANCAKTEPE,SAFA,29.242033219362003,41.008048933524975,151350400,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Seyhan Parkı.,İSTANBUL,BAHÇELİEVLER,SANCAKTEPE,YENİDOĞAN,29.242033219362003,41.008048933524975,151350507,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Merve Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,MERVE,29.242033219362003,41.008048933524975,151350387,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Meryem Çolak Parkı,İSTANBUL,BAHÇELİEVLER,SANCAKTEPE,YENİDOĞAN,29.243223638724007,41.008048933524975,151350503,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Afacan Çocuk Bahçesi,İSTANBUL,LEYLA,SANCAKTEPE,SAFA,29.255127832344048,41.008048933524975,151350399,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Gülistan Cd. Boş Alan,İSTANBUL,BAHÇELİEVLER,SANCAKTEPE,YENİDOĞAN,29.244414252851048,41.011642178224946,151350512,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Yumurcak Çocuk Parkı,İSTANBUL,HAKYOL,SANCAKTEPE,YUNUS EMRE,29.25036667426946,41.011642178224946,151350463,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
Şelale Çocuk Parkı,İSTANBUL,HAKYOL,SANCAKTEPE,YUNUS EMRE,29.247985803095656,41.01254048939994,151350461,"[<POLYGON ((29.241 41.008, 29.241 41.008, 29.243 41.008, 29.246 41.007, 29.24...>]"
