tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Kemal Özarar Parkı,İSTANBUL,KAYNAR,EYÜPSULTAN,SAKARYA,28.935485902177128,41.06237561117499,151347519,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Şehit Tamer Vardar Parkı,İSTANBUL,KAYNAR,GAZİOSMANPAŞA,PAZARİÇİ,28.935485902177128,41.06237561117499,151347845,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Mithatpaşa İlkokulu Bahçesi,İSTANBUL,İNKILAP,GAZİOSMANPAŞA,KARLITEPE,28.935485902177128,41.06237561117499,151347820,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
İBB (Derne) Gabdulla Tukay Parkı,İSTANBUL,PINAR,EYÜPSULTAN,MERKEZ,28.936677304354255,41.06237561117499,151347599,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Yunus Emre Parkı,İSTANBUL,YILDIZ TABYA ALİBEYKÖY,EYÜPSULTAN,ESENTEPE,28.935485918450976,41.063273922349985,151347537,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Eyüp Kültür Sanat Merkezi Bahçesi,İSTANBUL,PINAR,EYÜPSULTAN,MERKEZ,28.937868755352927,41.063273922349985,151347598,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Gündoğdu Parkı,İSTANBUL,MEHMET ÇOLAKOĞLU,GAZİOSMANPAŞA,YILDIZTABYA,28.93548593472556,41.06417223352498,151347846,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Esentepe Parkı,İSTANBUL,YILDIZ TABYA ALİBEYKÖY,EYÜPSULTAN,ESENTEPE,28.937868804176677,41.06417223352498,151347536,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
İBB İgdaş Parkı,İSTANBUL,3.CANAN,EYÜPSULTAN,SAKARYA,28.941443303661615,41.065968855874964,151347518,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Kılıçaslan İmam Hatip Ortaokulu Bahçesi,İSTANBUL,GAZİ OSMANPAŞA,EYÜPSULTAN,KARADOLAP,28.941443694331277,41.069562100574935,151347560,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
Osmanlı Parkı ve Spor Alanları,İSTANBUL,KAZIM KARABEKİR,EYÜPSULTAN,ALİBEYKÖY,28.94382675910837,41.069562100574935,151347539,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
İski Yanı Boş Alanı,İSTANBUL,KAZIM KARABEKİR,EYÜPSULTAN,EMNİYETTEPE,28.945018584538985,41.07135872292492,151347601,"[<POLYGON ((28.944 41.065, 28.945 41.067, 28.944 41.067, 28.944 41.068, 28.94...>]"
