tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fatih Parkı,İSTANBUL,GÜNALTAN,SANCAKTEPE,SARIGAZİ,29.208473147049016,40.998997811174995,151350524,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Mehmetçik Parkı,İSTANBUL,GÜNALTAN,SANCAKTEPE,SARIGAZİ,29.208473147049016,40.998997811174995,151350523,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Cumhuriyet Parkı,İSTANBUL,GÜNALTAN,SANCAKTEPE,SARIGAZİ,29.208473147049016,40.998997811174995,151350522,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
60.Yıl Sarıgazi İlkokulu Bahçesi,İSTANBUL,ZAİM,SANCAKTEPE,SARIGAZİ,29.21085382103038,40.99989612234999,151350528,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,OSMANGAZİ,SANCAKTEPE,KEMAL TÜRKLER,29.21680518154557,40.99989612234999,151350513,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Ekin Halı Saha ve Yanı,İSTANBUL,OSMANGAZİ,SANCAKTEPE,SARIGAZİ,29.21680518154557,40.99989612234999,151350529,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Genç Gelecek Spor Parkı,İSTANBUL,OSMANGAZİ,SANCAKTEPE,KEMAL TÜRKLER,29.21799545364861,40.99989612234999,151350516,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Akbaba Sk. Boş Alan,İSTANBUL,KULE,SANCAKTEPE,SARIGAZİ,29.206092829954127,41.00079443352498,151350526,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Ulukent Parkı,İSTANBUL,ŞEMS,SANCAKTEPE,EMEK,29.204902622745347,41.00169274469997,151350438,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Remzi Çakar Parkı,İSTANBUL,ŞEMS,SANCAKTEPE,EMEK,29.204902703865933,41.002591055874966,151350440,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Maçka Parkı,İSTANBUL,OSMANGAZİ,SANCAKTEPE,KEMAL TÜRKLER,29.216805911597802,41.002591055874966,151350518,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Mevlana Parkı,İSTANBUL,ŞEMS,SANCAKTEPE,EMEK,29.203712447992142,41.00348936704996,151350437,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Akasya Çocuk Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,MECLİS,29.20490286611812,41.00438767822495,151350435,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Muhtar Hüseyin Göktaş Bahçesi,İSTANBUL,CANAN,SANCAKTEPE,SARIGAZİ,29.21442569190711,41.00438767822495,151350525,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Şehit Prof.Dr. İlhan Varank Eğitim ve Araştırma Hastanesi Cami ve Külliyesi Derneği Alanı,İSTANBUL,NAMIK KEMAL,SANCAKTEPE,EMEK,29.200141469449946,41.005285989399944,151350442,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Metin Göktepe Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,MECLİS,29.202522257031006,41.00618430057494,151350433,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Katip Çelebi Bahçesi,İSTANBUL,ATATÜRK,SANCAKTEPE,MECLİS,29.200141501904792,41.00708261174993,151350434,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Kardelen Parkı,İSTANBUL,ATATÜRK,SANCAKTEPE,MECLİS,29.204903109523965,41.00708261174993,151350430,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
Pir Sultan Abdal Parkı,İSTANBUL,ANKARA,SANCAKTEPE,İNÖNÜ,29.209664863199873,41.00798092292492,151350467,"[<POLYGON ((29.214 41.008, 29.213 41.008, 29.213 41.009, 29.213 41.009, 29.21...>]"
