tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Hacı Kamer Torun Camii Bahçesi ve Yanı Yeşil Alan,İSTANBUL,ERZURUM KONGRE,ESENYURT,SELAHADDİN EYYUBİ,28.659517343542525,41.041386111174994,151347378,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Kadir Topbaş Parkı,İSTANBUL,1587.,ESENYURT,BATTALGAZİ,28.659517343542525,41.041386111174994,151347459,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Örnek İlkokulu Bahçesi,İSTANBUL,SİVAS KONGRE,ESENYURT,ÇINAR,28.659517343542525,41.041386111174994,151347471,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Muhsin Yazıcıoğlu Parkı,İSTANBUL,1548.,ESENYURT,SELAHADDİN EYYUBİ,28.659517522365395,41.04228442234999,151347375,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Garanti Koza İlkokulu Bahçesi,İSTANBUL,1549.,ESENYURT,SELAHADDİN EYYUBİ,28.658326809123164,41.04408104469997,151347377,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
İSKİ Parkı,İSTANBUL,AYASOFYA,ESENYURT,OSMANGAZİ,28.653562623026904,41.044979355874965,151347432,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
İSKİ Üstü Parkı,İSTANBUL,AYASOFYA,ESENYURT,OSMANGAZİ,28.653562623026904,41.044979355874965,151347430,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
İSKİ Parkı,İSTANBUL,CUMHURİYET,ESENYURT,İSTİKLAL,28.651180513722895,41.04587766704996,151347447,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Temizlik İşleri Yanı Belediye Boş Arazi,İSTANBUL,1526.,ESENYURT,SELAHADDİN EYYUBİ,28.660709341168687,41.04587766704996,151347376,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Gaziosman Paşa Parkı,İSTANBUL,ERZURUM KONGRE,ESENYURT,ÖRNEK,28.66785596175303,41.04587766704996,151347368,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Esenyurt İlköğretim Okulu Bahçesi,İSTANBUL,ERZURUM KONGRE,ESENYURT,ÖRNEK,28.66904737412962,41.04677597822495,151439941,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Ardıçlı Mahallesi Otoban Yanı Yeşillik Alan,İSTANBUL,DOĞAN ARASLI,ESENYURT,ARDIÇLI,28.669047992063334,41.048572600574936,151347443,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Selahaddin Eyyubi Mahallesi Otoban Yanı Yeşil Alan,İSTANBUL,1538.,ESENYURT,SELAHADDİN EYYUBİ,28.667857132574806,41.04947091174993,151347489,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Akbatı Karşısı Otoban Yanı Yeşillik Alan,İSTANBUL,ATATÜRK,ESENYURT,KOZA,28.66785742531344,41.05036922292492,151347453,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
İstiklal Mahallesi Gençlik Merkezi  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,1587.,ESENYURT,OSMANGAZİ,28.647607333533823,41.0530641564499,151347431,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Yasemin Parkı,İSTANBUL,1673.,ESENYURT,ORHAN GAZİ,28.651181034135295,41.0530641564499,151347464,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
Erguvan Parkı,İSTANBUL,1657.,ESENYURT,ORHAN GAZİ,28.652372918420483,41.06025064584984,151347463,"[<POLYGON ((28.656 41.06, 28.655 41.061, 28.654 41.062, 28.653 41.063, 28.653...>]"
