tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Selami Ali Efendi Cami Bahçesi,İSTANBUL,ETHEMAĞA,ÜSKÜDAR,SELAMİ ALİ,29.02353881114255,41.024193111174995,151350880,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
15 Temmuz Gazileri Anadolu Lisesi Bahçesi,İSTANBUL,ETHEMAĞA,ÜSKÜDAR,SELAMİ ALİ,29.02353881114255,41.024193111174995,151350881,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Otizm Merkezi Bahçesi,İSTANBUL,SELAMİALİ EFENDİ,ÜSKÜDAR,MURATREİS,29.02353881114255,41.024193111174995,151350865,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Orkide Parkı,İSTANBUL,AŞÇI HANIM,ÜSKÜDAR,SELAMİ ALİ,29.027110944570207,41.024193111174995,151350873,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Tıknefes Parkı,İSTANBUL,SELAMİALİ EFENDİ,ÜSKÜDAR,MURATREİS,29.027110944570207,41.024193111174995,151350915,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Üzümkızı Parkı,İSTANBUL,BAKKAL ADEM,ÜSKÜDAR,SELAMİ ALİ,29.02830165571276,41.024193111174995,151350874,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Çinili Park,İSTANBUL,GAZİ,ÜSKÜDAR,MURATREİS,29.02830165571276,41.024193111174995,151350862,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Goncagül Parkı,İSTANBUL,GAZİ,ÜSKÜDAR,MURATREİS,29.02949236685531,41.024193111174995,151350863,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Gülsev Parkı,İSTANBUL,GAZİ,ÜSKÜDAR,MURATREİS,29.030683077997864,41.024193111174995,151350864,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Bağlarbaşı Kongre ve Kültür Merkezi Önü,İSTANBUL,GAZİ,ÜSKÜDAR,SELAMİ ALİ,29.031873789140416,41.024193111174995,151350879,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Ahmet Keleşoğlu Anadolu Lisesi Bahçesi,İSTANBUL,GAZİ,ÜSKÜDAR,MURATREİS,29.03306450028297,41.024193111174995,151350916,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Devrim Sokak Parkı,İSTANBUL,VAKIF,ÜSKÜDAR,SELAMİ ALİ,29.03425521142552,41.024193111174995,151350918,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
Bağlarbaşı Parkı,İSTANBUL,VAKIF,ÜSKÜDAR,SELAMİ ALİ,29.03425521142552,41.024193111174995,151350876,"[<POLYGON ((29.037 41.024, 29.036 41.024, 29.035 41.026, 29.035 41.026, 29.03...>]"
