tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Halil Türkkan Ortaokulu Bahçesi,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.02094433768413,40.99930751117499,151348085,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Samyeli Futbol Sahası,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.02094433768413,40.99930751117499,151348087,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Natilius AVM Bahçesi,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,ACIBADEM,29.02094433768413,40.99930751117499,151348077,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Selimiye Futbol Sahası,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.019754254654288,41.00020582234998,151350845,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Öğretmenler Parkı,İSTANBUL,DR. EYÜP AKSOY,KADIKÖY,KOŞUYOLU,29.022134810045976,41.00020582234998,151348078,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Gökkuşağı Parkı,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.011422375674986,41.001104133524976,151350844,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
İsmail Hakkı Tonguç Parkı,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.011422375674986,41.001104133524976,151350909,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Selimiye İç Parkı,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.01618355134997,41.001104133524976,151350841,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Selimiye İlkokul Yanı Park,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.01975443310621,41.001104133524976,151350840,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Selimiye Parkı,İSTANBUL,BURHAN FELEK,ÜSKÜDAR,SELİMİYE,29.011422440569522,41.00200244469997,151350842,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Salacak İmam Hatip Orta Okulu Bahçesi,İSTANBUL,HAREM SAHİL YOLU,ÜSKÜDAR,SALACAK ,29.00785157504427,41.00559568939994,151350906,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Duvardibi Parkı,İSTANBUL,TIBBİYE,ÜSKÜDAR,SELİMİYE,29.022136075575517,41.00559568939994,151350843,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Tıbbiye Caddesi Namazgah,İSTANBUL,HAREM İSKELESİ,ÜSKÜDAR,SALACAK ,29.01618497935326,41.010985556449896,151350905,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
Çiçekçi Parkı,İSTANBUL,SUPHİBEY,ÜSKÜDAR,SALACAK ,29.013804131905264,41.01188386762489,151350836,"[<POLYGON ((29.028 41.003, 29.028 41.003, 29.028 41.003, 29.028 41.003, 29.02...>]"
