tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Zeynel Bey Bedesten Çocuk Parkı,İSTANBUL,1004.,SİLİVRİ,SELİMPAŞA,28.38989806323427,41.04899001117499,151349111,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Atatürk Meydanı,İSTANBUL,1004.,SİLİVRİ,SELİMPAŞA,28.38989806323427,41.04899001117499,151349109,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Lodos Sokak Parkı,İSTANBUL,BEYAZYALILAR,BÜYÜKÇEKMECE,CELALİYE,28.38989806323427,41.04899001117499,151346901,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
3027. Sokak Basketbol Sahası Alanı,İSTANBUL,HALASKARGAZİ,SİLİVRİ,SELİMPAŞA,28.386325722323686,41.049888322349986,151349110,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Adnan Menderes Caddesi Fitnes Alanı,İSTANBUL,3050.,SİLİVRİ,SELİMPAŞA,28.3601229724166,41.05348156704996,151349108,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Ramazan Çelik Parkı,İSTANBUL,3230.,SİLİVRİ,SELİMPAŞA,28.332726054065525,41.05707481174993,151349112,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Selimpaşa Park Çamlık,İSTANBUL,3230.,SİLİVRİ,SELİMPAŞA,28.332726054065525,41.05707481174993,151349113,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Murat Çeşme Piknik Alanı,İSTANBUL,ZEBUR,SİLİVRİ,CUMHURİYET ,28.31366530188902,41.05797312292492,151349076,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Terzi / Rezene Sokak Çocuk Parkı,İSTANBUL,5006.,SİLİVRİ,KAVAKLI İSTİKLAL,28.324387496642206,41.05887143409991,151349139,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Dr. Cemal Kozanoğlu Caddesi Çobanoğlu Sokak Çocuk Parkı,İSTANBUL,ZAHİRE ÇIKMAZI,SİLİVRİ,CUMHURİYET ,28.304134771245025,41.0606680564499,151349078,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Buğrahan Sokak Çocuk Parkı.,İSTANBUL,23 NİSAN,SİLİVRİ,KAVAKLI HÜRRİYET,28.33272971536541,41.06515961232486,151440418,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Ferhan Gülan Parkı,İSTANBUL,400.,SİLİVRİ,ORTAKÖY,28.389926570620357,41.07054947937482,151349159,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Hümayun Caddesi İletişim Noktası Park Alanı,İSTANBUL,OVAYENİCE,SİLİVRİ,ORTAKÖY,28.391121735350477,41.0732444128998,151349158,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Gülbahçe Sokak Çocuk Parkı,İSTANBUL,610.,SİLİVRİ,KAVAKLI HÜRRİYET,28.34584272716786,41.075939346424775,151349178,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
Ortaköy Futbol Sahası.,İSTANBUL,400.,SİLİVRİ,ORTAKÖY,28.38635875838195,41.075939346424775,151349157,"[<POLYGON ((28.391 41.048, 28.392 41.051, 28.392 41.052, 28.393 41.055, 28.39...>]"
