tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çırpıcı Millet Bahçesi ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,OSMANİYE E-5 YAN YOL,BAKIRKÖY,OSMANİYE,28.89392591775258,41.00242381117499,151349908,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
29 Ekim Parkı,İSTANBUL,E-5 KARAYOLU,GÜNGÖREN,ABDURRAHMAN NAFİZ GÜRMAN,28.89392591775258,41.00242381117499,151347978,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
30 Ağustos Parkı,İSTANBUL,E-5 KARAYOLU,GÜNGÖREN,ABDURRAHMAN NAFİZ GÜRMAN,28.89392591775258,41.00242381117499,151347977,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Güngören Belediyesi Merter Açık Otoparkı,İSTANBUL,E-5 KARAYOLU,GÜNGÖREN,ABDURRAHMAN NAFİZ GÜRMAN,28.895116235505157,41.00242381117499,151347987,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Özgürlük Parkı,İSTANBUL,75/2.,ZEYTİNBURNU,BEŞTELSİZ,28.89868726988646,41.003322122349985,151349898,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Cevat Açıkalın Cad. Toplanma Alanı (Eski Ulusoy Garajı),İSTANBUL,GENERAL ALİ RIZA GÜRCAN,GÜNGÖREN,TOZKOPARAN,28.899877701216447,41.00422043352498,151347965,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Osman Zeki Bayraktar Parkı,İSTANBUL,75/2.,ZEYTİNBURNU,BEŞTELSİZ,28.901068051419188,41.00422043352498,151349897,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Öğretmenler Parkı,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,BEŞTELSİZ,28.90225840162193,41.00422043352498,151349900,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Seyitnizam Parkı,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,SEYİTNİZAM,28.90582945223015,41.00422043352498,151349882,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Alparslan Ortaokulu Bahçesi,İSTANBUL,GENERAL ALİ RIZA GÜRCAN,GÜNGÖREN,TOZKOPARAN,28.89630669928678,41.00511874469997,151347968,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Gelişim Sitesi Yanı Yeşil Alan,İSTANBUL,G/18.,ZEYTİNBURNU,SEYİTNİZAM,28.908210363576035,41.00511874469997,151349880,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Haluk Ündeğer İlkokulu Bahçesi,İSTANBUL,GÜMÜŞSUYU DAVUTPAŞA,ZEYTİNBURNU,SEYİTNİZAM,28.90940073000496,41.00511874469997,151349884,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
TOKİ Seyitnizam Şehit Semih Balaban İmam Hatip Ortaokulu Bahçesi,İSTANBUL,YUNUS EMRE,ZEYTİNBURNU,SEYİTNİZAM,28.910591096433887,41.00511874469997,151349885,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Seyyid Nizam Cami Bahçesi,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,SEYİTNİZAM,28.911781462862812,41.00511874469997,151349886,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
Zeytinburnu Kız Anadolu İmam Hatip Bahçesi,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,KAZLIÇEŞME,28.912971829291738,41.00511874469997,151349895,"[<POLYGON ((28.896 41.007, 28.896 41.006, 28.894 41.004, 28.893 41.003, 28.89...>]"
