tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Uzun Yusuf Parkı.,İSTANBUL,YEDİ EMİRLER ÇEŞMESİ,FATİH,SEYYİD ÖMER,28.926159809925814,41.007526611174995,151347742,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Silivrikapı Set Üstü Parkı,İSTANBUL,SİLİVRİKAPI YAĞHANE,FATİH,MEVLANAKAPI,28.926159809925814,41.007526611174995,151347651,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Mustafa Nafi Parkı,İSTANBUL,YEDİ EMİRLER ÇEŞMESİ,FATİH,SEYYİD ÖMER,28.926159809925814,41.007526611174995,151347738,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Seyitömer Belediye Otoparkı,İSTANBUL,MUSTAFA NÂFİ,FATİH,SEYYİD ÖMER,28.92735021985163,41.007526611174995,151440906,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Kamil Başaran Parkı,İSTANBUL,MUSTAFA NÂFİ,FATİH,SEYYİD ÖMER,28.928540629777444,41.007526611174995,151347739,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Vedide Baha Pars Ortaokulu Bahçesi,İSTANBUL,VANİ DERGAHI ÇIKMAZI,FATİH,SEYYİD ÖMER,28.92973103970326,41.007526611174995,151347744,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Emin Ali Parkı,İSTANBUL,SİLİVRİKAPI,FATİH,SEYYİD ÖMER,28.930921449629075,41.007526611174995,151347745,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Taşköprülü Parkı,İSTANBUL,KÖPRÜLÜZADE,FATİH,SEYYİD ÖMER,28.933302269480706,41.007526611174995,151347740,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Hekimoğlu Ali Paşa Parkı,İSTANBUL,HEKİMOĞLU ALİPAŞA,FATİH,CERRAHPAŞA,28.933302269480706,41.007526611174995,151347712,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Seyyid Ömer Şelaleli Park,İSTANBUL,ALİ ŞİR NEVAİ,FATİH,SEYYİD ÖMER,28.93449267940652,41.007526611174995,151347741,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Hekimoğlu Alipaşa Camii Avlusu,İSTANBUL,HEKİMOĞLU ALİPAŞA,FATİH,CERRAHPAŞA,28.935683089332336,41.007526611174995,151347714,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Şehit Yunus Emre Ezer İlkokulu Bahçesi,İSTANBUL,KARAGÖZ TEKKESİ,FATİH,MEVLANAKAPI,28.926159826154706,41.00842492234999,151347659,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Seyyid Ömer Meydanı ve Seydibey Camii Avlusu,İSTANBUL,MİRALAY HASAN KAZIMBEY ÇIKMAZI,FATİH,SEYYİD ÖMER,28.929731104618828,41.00842492234999,151347736,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Fındıkzade Çukurbostan Şehir Parkı,İSTANBUL,HÜSEYİN KAZIM,FATİH,SEYYİD ÖMER,28.934492809237657,41.00842492234999,151347743,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Mucit Sokak Çevre Otoparkı (1816/10),İSTANBUL,KIZILELMA,FATİH,HASEKİ SULTAN,28.93687366154707,41.00842492234999,151347664,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Davutpaşa Camii Avlusu,İSTANBUL,HEKİMOĞLU ALİPAŞA,FATİH,CERRAHPAŞA,28.93687366154707,41.00842492234999,151347713,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Vezir Parkı,İSTANBUL,YAYLAK,FATİH,ŞEHREMİNİ,28.929731169537323,41.00932323352498,151347675,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Şehit Ast. Furkan Işık Parkı,İSTANBUL,KÖPRÜLÜZADE,FATİH,SEYYİD ÖMER,28.933302496690317,41.00932323352498,151347737,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Aydın Kethüda (Kurşunlu) Camii Avlusu,İSTANBUL,YAYLA,FATİH,ŞEHREMİNİ,28.92735031722938,41.010221544699974,151347678,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Behruzağa Odabaşı Camii Avlusu,İSTANBUL,YAYLAK,FATİH,ŞEHREMİNİ,28.92973123445876,41.010221544699974,151347679,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Çukurbostan Parkı,İSTANBUL,ZİYA GÖKALP,FATİH,ŞEHREMİNİ,28.93330261030283,41.010221544699974,151347676,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Çapa İlkokulu Bahçesi,İSTANBUL,ZİYA GÖKALP,FATİH,ŞEHREMİNİ,28.935683527532213,41.010221544699974,151347682,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
Selçuk Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ZİYA GÖKALP,FATİH,ŞEHREMİNİ,28.938064444761594,41.010221544699974,151347684,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
İbrahim Çavuş Parkı,İSTANBUL,KERESTECİ VELİ,FATİH,MEVLANAKAPI,28.926159874845787,41.011119855874966,151347654,"[<POLYGON ((28.933 41.007, 28.933 41.007, 28.934 41.007, 28.935 41.007, 28.93...>]"
