tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Togay Boyatlı Parkı,İSTANBUL,CUMHURİYET 1,BAHÇELİEVLER,ŞİRİNEVLER,28.84811820151277,41.007060911174996,151346197,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Şehit Cengiz Sarıbaş Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,KEMAL SUNAL,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.84811820151277,41.007060911174996,151346179,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Bülent Ecevit Ortaokulu Bahçesi,İSTANBUL,KEMAL SUNAL,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.84811820151277,41.007060911174996,151346184,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Bağlar Ortaokulu Bahçesi,İSTANBUL,TEZER,BAHÇELİEVLER,SOĞANLI,28.849308603025538,41.007060911174996,151346214,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Atatürk İlkokulu Bahçesi,İSTANBUL,CUMHURİYET 1,BAHÇELİEVLER,ŞİRİNEVLER,28.850499004538307,41.007060911174996,151346202,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Ali Haydar Günver İlkokulu Bahçesi,İSTANBUL,MİSKET,BAHÇELİEVLER,SOĞANLI,28.852879807563845,41.007060911174996,151346213,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Yavuz Gökmen Parkı ,İSTANBUL,FERİT SELİMPAŞA,BAHÇELİEVLER,BAHÇELİEVLER,28.856451012102152,41.007060911174996,151439362,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Şehit Metin Uzun Parkı,İSTANBUL,FERİT SELİMPAŞA,BAHÇELİEVLER,BAHÇELİEVLER,28.856451012102152,41.007060911174996,151346223,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Kazım Karabekir Ortaokulu Bahçesi,İSTANBUL,FERİT SELİMPAŞA,BAHÇELİEVLER,BAHÇELİEVLER,28.85764141361492,41.007060911174996,151346081,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Füsun Yönder Anadolu Lisesi Bahçesi,İSTANBUL,AYDOĞDU,BAHÇELİEVLER,SOĞANLI,28.85049905322383,41.00795922234999,151346215,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Şehit Osman Yıldız Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,GÜNAYDIN,BAHÇELİEVLER,SOĞANLI,28.854070403823126,41.00885753352498,151346217,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Yunus Emre İmam Hatip Ortaokulu Bahçesi,İSTANBUL,HABİB ÖZHAN,BAHÇELİEVLER,SOĞANLI,28.8481182502005,41.009755844699974,151346216,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Soğanlı Etkinlik Çadırı,İSTANBUL,SERDAR,BAHÇELİEVLER,SOĞANLI,28.8552609514035,41.009755844699974,151346212,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Kahraman Bapçum Parkı,İSTANBUL,FERİT SELİMPAŞA,BAHÇELİEVLER,BAHÇELİEVLER,28.858832302005002,41.009755844699974,151346064,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
İhsan Günden Parkı,İSTANBUL,KEMAL SUNAL,BAHÇELİEVLER,KOCASİNAN MERKEZ,28.848118266431214,41.01065415587497,151346192,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Levent Kırca-Oya Başar Parkı (Soğanlı Mah. Parkı),İSTANBUL,MİMAR SİNAN,BAHÇELİEVLER,CUMHURİYET,28.8516897955794,41.01245077822495,151346095,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Şehit Oktay Demiryürek Ortaokulu Bahçesi,İSTANBUL,MİMAR SİNAN,BAHÇELİEVLER,CUMHURİYET,28.8516897955794,41.01245077822495,151439358,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Hazım Ersu İlkokulu Bahçesi,İSTANBUL,MİMAR SİNAN,BAHÇELİEVLER,CUMHURİYET,28.85764229005365,41.01245077822495,151346099,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
Kuyulu Camii Bahçesi,İSTANBUL,TELSİZ,GÜNGÖREN,HAZNEDAR,28.8635947845279,41.01245077822495,151347916,"[<POLYGON ((28.848 41.013, 28.847 41.013, 28.847 41.012, 28.847 41.011, 28.84...>]"
