tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Soğanlık Şehit Oktay Karakelle İmam Hatip Ortaokulu Bahçesi,İSTANBUL,SOĞANLIK D-100 KUZEY YANYOL,KARTAL,SOĞANLIK YENİ,29.198738319801944,40.91076231117499,151348571,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Musa Eroğlu Parkı,İSTANBUL,SOĞANLIK D-100 KUZEY YANYOL,KARTAL,SOĞANLIK YENİ,29.198738319801944,40.91076231117499,151348570,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Genç Osman Parkı,İSTANBUL,SOĞANLIK D-100 KUZEY YANYOL,KARTAL,SOĞANLIK YENİ,29.198738319801944,40.91076231117499,151348566,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Şehit Muammed Avcı Parkı,İSTANBUL,KAPTANIDERYA,KARTAL,ORTA,29.19992698588029,40.91076231117499,151348509,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Burak Bora Anadolu Lisesi Karşısı Hamidiye Su ve İspark Alanı,İSTANBUL,SOĞANLIK D-100 KUZEY YANYOL,KARTAL,SOĞANLIK YENİ,29.195172644565424,40.911660622349984,151348565,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Gazi Osman Paşa Parkı,İSTANBUL,KAPTANIDERYA,KARTAL,ORTA,29.20111605570678,40.911660622349984,151348505,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Anadolu Caddesi Yanı Parkı,İSTANBUL,CEVİZLİ D-100 GÜNEY YANYOL,KARTAL,ESENTEPE,29.192795570820657,40.91255893352498,151348424,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Köy Hizmetleri Cami Bahçesi,İSTANBUL,CEVİZLİ D-100 GÜNEY YANYOL,KARTAL,ESENTEPE,29.192795570820657,40.91255893352498,151348437,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Burak Bora Anadolu Lisesi Bahçesi,İSTANBUL,ATATÜRK,KARTAL,SOĞANLIK YENİ,29.193984269199582,40.91255893352498,151348564,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Eski Fatih Boylan Parkı,İSTANBUL,GENÇ OSMAN,KARTAL,ORTA,29.19992776109421,40.91255893352498,151348504,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Şehit Selahattin Turgut Parkı,İSTANBUL,PEGAGAZ,KARTAL,SOĞANLIK YENİ,29.19873943419716,40.91345724469997,151348573,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Zabıta Müdürlüğü Boş Alanları,İSTANBUL,CEVİZLİ D-100 GÜNEY YANYOL,KARTAL,CEVİZLİ,29.18685249887158,40.91435555587496,151348462,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
İstanbul Köy Hizmetleri Anadolu Lisesi Bahçesi,İSTANBUL,CEVİZLİ D-100 GÜNEY YANYOL,KARTAL,ESENTEPE,29.18685249887158,40.91435555587496,151348435,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Kartal Mehmet Akif Ersoy Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ÇANAKKALE,KARTAL,ESENTEPE,29.18447521518807,40.915253867049955,151348436,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Çifteler Turgut Alp Kaplan Parkı,İSTANBUL,CEVİZLİ D-100 GÜNEY YANYOL,KARTAL,CEVİZLİ,29.18447521518807,40.915253867049955,151348448,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Mustafa Karaoğlu Parkı,İSTANBUL,MİMAR SİNAN,KARTAL,SOĞANLIK YENİ,29.191607696199743,40.915253867049955,151348568,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Halime Çavuş Parkı.,İSTANBUL,DERSAADET,KARTAL,SOĞANLIK YENİ,29.19279644303502,40.915253867049955,151348575,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Hacı Bektaş Veli Parkı.,İSTANBUL,IHLARA,KARTAL,SOĞANLIK YENİ,29.1939851898703,40.915253867049955,151348576,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
Şehit Er Yıldıray Biroğlu İlkokulu Bahçesi,İSTANBUL,CEVİZLİ D-100 GÜNEY YANYOL,KARTAL,CEVİZLİ,29.180909103910885,40.91615217822495,151348461,"[<POLYGON ((29.2 40.916, 29.2 40.916, 29.2 40.917, 29.2 40.917, 29.2 40.917, ...>]"
