tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Taşdelen 125. Yıl İlkokulu Bahçesi,İSTANBUL,PAŞAZADE,ÇEKMEKÖY,AYDINLAR,29.231909602390623,41.02087731117499,151347127,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Necati Alkan Spor Tesisleri Parkı,İSTANBUL,PAŞAZADE,ÇEKMEKÖY,AYDINLAR,29.231909602390623,41.02087731117499,151347132,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Soğukpınar Parkı,İSTANBUL,CEMRE,ÇEKMEKÖY,SOĞUKPINAR,29.231909602390623,41.02087731117499,151347196,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Volkan Parkı,İSTANBUL,AYDIN,ÇEKMEKÖY,SOĞUKPINAR,29.233100253585935,41.02087731117499,151347192,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Değer Sokak Parkı,İSTANBUL,AYDIN,ÇEKMEKÖY,SOĞUKPINAR,29.233100253585935,41.02087731117499,151347190,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Gençlik Caddesi Kurban Pazar Yeri,İSTANBUL,GENÇLİK,ÇEKMEKÖY,AYDINLAR,29.234290904781247,41.02087731117499,151347134,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Hüseyin Avni Sipahi Ticaret Meslek Lisesi Bahçesi,İSTANBUL,PAŞAZADE,ÇEKMEKÖY,CUMHURİYET,29.23071896743513,41.021775622349985,151347256,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Aksa Cami Parkı,İSTANBUL,PAŞAZADE,ÇEKMEKÖY,CUMHURİYET,29.23071896743513,41.021775622349985,151347257,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Bilse Sokak Yanı,İSTANBUL,İLKE,ÇEKMEKÖY,SOĞUKPINAR,29.23548163717566,41.021775622349985,151347193,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Hamide Sancak Parkı,İSTANBUL,MERMERCİLER,ÇEKMEKÖY,SOĞUKPINAR,29.237862972045924,41.021775622349985,151347195,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Yenidoğan İlkokulu Bahçesi ,İSTANBUL,ERDİNÇ,SANCAKTEPE,YUNUS EMRE,29.24024430691619,41.021775622349985,151350465,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Aziz Sk. Boş Alan,İSTANBUL,ERDİNÇ,SANCAKTEPE,YUNUS EMRE,29.24143497435132,41.021775622349985,151350464,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Karaçayır Parkı,İSTANBUL,CANAN,ÇEKMEKÖY,SOĞUKPINAR,29.231909667351374,41.02267393352498,151347191,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Yılmaz Parkı,İSTANBUL,CİVAN,ÇEKMEKÖY,SOĞUKPINAR,29.230718999916977,41.02357224469997,151347197,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Keklik Sokak Parkı,İSTANBUL,SABIR,ÇEKMEKÖY,SOĞUKPINAR,29.230719016159004,41.02447055587496,151347273,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Dere Park,İSTANBUL,SEVİNÇ,ÇEKMEKÖY,SOĞUKPINAR,29.233100448477014,41.02447055587496,151347194,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Fatma Zehra Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,NEDİM SİPAHİ,ÇEKMEKÖY,EKŞİOĞLU,29.237863313113035,41.02447055587496,151347261,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,NEDİM SİPAHİ,ÇEKMEKÖY,EKŞİOĞLU,29.24143562401767,41.025368867049956,151347262,"[<POLYGON ((29.243 41.022, 29.243 41.022, 29.243 41.023, 29.242 41.024, 29.24...>]"
