tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Suadiye Tren İstasyonu Parkı,İSTANBUL,ÇETİN EMEÇ,KADIKÖY,SUADİYE,29.081098327523787,40.95418111117499,151348115,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Miltaş Spor Tesisleri,İSTANBUL,ÇETİN EMEÇ,KADIKÖY,BOSTANCI,29.081098327523787,40.95418111117499,151348178,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Suadiye Camii Avlusu,İSTANBUL,ÇETİN EMEÇ,KADIKÖY,SUADİYE,29.081098327523787,40.95418111117499,151348182,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Mehmet Karamancı İlkokulu Bahçesi,İSTANBUL,ÇETİN EMEÇ,KADIKÖY,SUADİYE,29.083477222529073,40.95418111117499,151348117,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Tarım İl Müdürlüğü Ön Bahçesi,İSTANBUL,NOTER,KADIKÖY,CADDEBOSTAN,29.072772324496505,40.95777435587496,151348124,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Raket Tenis Kulübü,İSTANBUL,NOTER,KADIKÖY,CADDEBOSTAN,29.072772324496505,40.95777435587496,151440028,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Hacı Mustafa Tarman Anadolu Lisesi Bahçesi,İSTANBUL,KİTAPÇI,KADIKÖY,SUADİYE,29.08466783550545,40.959570978224946,151348116,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Zihni Paşa Camii Avlusu,İSTANBUL,NURETTİN ALİ BERKOL,KADIKÖY,ERENKÖY,29.07753095633194,40.96316422292492,151348041,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Kazasker Shell Karşısı Yeşi Alan,İSTANBUL,KAVİSLİ,KADIKÖY,19 MAYIS,29.07991030465032,40.96406253409991,151348056,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Erenköy Gönüllü Evi Arkası Park,İSTANBUL,ACUN,KADIKÖY,ERENKÖY,29.078720905781285,40.965859156449895,151348043,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
Mustafa Nazmi Ersin Cami Bahçesi,İSTANBUL,KAVİSLİ,KADIKÖY,19 MAYIS,29.082290203591548,40.96765577879988,151348053,"[<POLYGON ((29.087 40.966, 29.087 40.966, 29.087 40.965, 29.085 40.966, 29.08...>]"
