tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Hasan Hüseyin Parkı,İSTANBUL,ARMAĞAN,KAĞITHANE,ŞİRİNTEPE,28.99462294675871,41.086346611174996,151348207,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Çeliktepe Ortaokulu Bahçesi,İSTANBUL,ŞEHİT KARAKUŞLAR,KAĞITHANE,ÇELİKTEPE,28.99462294675871,41.086346611174996,151348270,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Tuna Caddesi Parkı (Mezarlık Altı),İSTANBUL,ARMAĞAN,KAĞITHANE,SULTAN SELİM,28.99462294675871,41.086346611174996,151348342,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Kağıthane İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ŞEHİT KARAKUŞLAR,KAĞITHANE,SULTAN SELİM,28.995814864916074,41.08724492234999,151348345,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Sultan Selim Kültür Merkezi Üstü Parkı,İSTANBUL,TUNA,KAĞITHANE,SULTAN SELİM,28.99700671789929,41.08724492234999,151348339,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Yaşar Doğu İlkokulu Bahçesi,İSTANBUL,KOÇ,KAĞITHANE,SULTAN SELİM,29.00058242349742,41.08814323352498,151348347,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Yaşar Doğu Parkı,İSTANBUL,YONCA,KAĞITHANE,SULTAN SELİM,29.001774455725062,41.089041544699974,151348338,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Ticaret Odası İlkokulu Bahçesi,İSTANBUL,YAMAÇ,KAĞITHANE,EMNİYET EVLERİ,29.00296634129757,41.089041544699974,151348357,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Bosna Hersek Parkı,İSTANBUL,YAMAÇ,KAĞITHANE,EMNİYET EVLERİ,29.004158226870075,41.089041544699974,151348254,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
Emniyetevler Cami Önü Yeşil Alan,İSTANBUL,YAMAÇ,KAĞITHANE,EMNİYET EVLERİ,29.00535011244258,41.089041544699974,151348255,"[<POLYGON ((29.006 41.089, 29.006 41.09, 29.006 41.091, 29.005 41.091, 29.005...>]"
