tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yedikule Yüzme Havuzu Çevresi,İSTANBUL,HACI KADIN,FATİH,YEDİKULE,28.92574685282122,40.99981091117499,151347751,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Fevziye Küçükefendi Camii Avlusu,İSTANBUL,HAMDULLAH,FATİH,SÜMBÜL EFENDİ,28.92574685282122,40.99981091117499,151347644,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Yedikule Anadolu Lisesi Bahçesi,İSTANBUL,HACI KADIN,FATİH,YEDİKULE,28.92574685282122,40.99981091117499,151347749,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Duhaniye Sokak Otoparkı,İSTANBUL,KEMANCI SİTELERİ,FATİH,SÜMBÜL EFENDİ,28.926937123385464,40.99981091117499,151347647,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Namık Sevik Stadı ve Yan Yeşil Alanlar,İSTANBUL,HİSARALTI 1.,FATİH,SÜMBÜL EFENDİ,28.920985786786822,41.00070922234998,151347643,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Hacıpiri Sk. Toplanma Alanı,İSTANBUL,HACI HAMZA MEKTEBİ,FATİH,YEDİKULE,28.920985786786822,41.00070922234998,151347747,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Zigana Spor Tesisleri Açık Sahaları,İSTANBUL,HACI HAMZA MEKTEBİ,FATİH,YEDİKULE,28.920985786786822,41.00070922234998,151347754,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Gülistanbul Anaokulu Yanı Otopark,İSTANBUL,YAZICI,FATİH,SÜMBÜL EFENDİ,28.926937220720937,41.00070922234998,151347646,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Mehmet Akif Ortaokulu Bahçesi.,İSTANBUL,HACI KADIN,FATİH,KOCA MUSTAFAPAŞA,28.92812750750776,41.00070922234998,151347698,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
75. Yıl Parkı,İSTANBUL,10. YIL,ZEYTİNBURNU,KAZLIÇEŞME,28.920985803010133,41.001607533524975,151349894,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Silivrikapı Semt Parkı,İSTANBUL,KOÇDİBEK ÇIKMAZI,FATİH,SİLİVRİKAPI,28.9233664090304,41.001607533524975,151347789,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Koca Mustafa Paşa Hamamı Önü,İSTANBUL,HAVACI ŞİNASİ,FATİH,SÜMBÜL EFENDİ,28.925747015050668,41.001607533524975,151347649,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Cambaziye Sokak Otoparkı,İSTANBUL,DUHANİYE ÇIKMAZI,FATİH,SÜMBÜL EFENDİ,28.928127621070935,41.001607533524975,151347648,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Kocamustafapaşa İlkokulu Bahçesi,İSTANBUL,CAMBAZİYE ARALIĞI,FATİH,SÜMBÜL EFENDİ,28.929318053873466,41.00250584469997,151347645,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Hadım İbrahimpaşa Camii Avlusu,İSTANBUL,KOÇDİBEK ÇIKMAZI,FATİH,SİLİVRİKAPI,28.92217617091793,41.00340415587496,151347642,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Silivrikapı Alay İmamı Parkı,İSTANBUL,KOÇDİBEK,FATİH,SİLİVRİKAPI,28.92455684183586,41.00340415587496,151347640,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
Kocamustafapaşa Semt Parkı,İSTANBUL,KOCA MUSTAFAPAŞA,FATİH,SİLİVRİKAPI,28.929318183671718,41.00340415587496,151347639,"[<POLYGON ((28.921 41.005, 28.92 41.003, 28.92 41.001, 28.92 41, 28.921 41, 2...>]"
