tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Anadolu Parkı,İSTANBUL,GAMZELİ,KAĞITHANE,MEHMET AKİF ERSOY,28.960521773778645,41.05625191117499,151348295,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
57. Alay Parkı,İSTANBUL,HANIMELİ,KAĞITHANE,TALATPAŞA,28.960521773778645,41.05625191117499,151348289,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
Tülin Manço İlkokulu Bahçesi,İSTANBUL,GAMZELİ,KAĞITHANE,MEHMET AKİF ERSOY,28.960521773778645,41.05625191117499,151348304,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
Kağıthane İTO Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,DARÜLACEZE,KAĞITHANE,MEHMET AKİF ERSOY,28.961713065038193,41.05625191117499,151348303,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
Taş Kızak Parkı,İSTANBUL,DARÜLACEZE,ŞİŞLİ,HALİL RIFAT PAŞA,28.96290435629774,41.05625191117499,151350595,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
Mehmet Akif Futbol Sahası ve Çevresi,İSTANBUL,GAZHANE,KAĞITHANE,MEHMET AKİF ERSOY,28.958139223797925,41.058048533524975,151348301,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
M.Akif Ersoy Mahalle Konağı Önü,İSTANBUL,GAZHANE,KAĞITHANE,MEHMET AKİF ERSOY,28.958139223797925,41.058048533524975,151348296,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
Günebakan İlkokulu Bahçesi,İSTANBUL,ÖZMEN,KAĞITHANE,TALATPAŞA,28.95933054759585,41.058048533524975,151348355,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
Osman Tevfik Yalman Ortaokulu Bahçesi,İSTANBUL,DARÜLACEZE,KAĞITHANE,TALATPAŞA,28.964095842787554,41.058048533524975,151348293,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
İnce Bayır Parkı,İSTANBUL,YEŞİLAY,KAĞITHANE,TALATPAŞA,28.960521920204652,41.05894684469997,151348285,"[<POLYGON ((28.966 41.072, 28.966 41.071, 28.965 41.07, 28.964 41.068, 28.964...>, <POLYGON ((28.677 41.023, 28.677 41.024, 28.676 41.024, 28.675 41.025, 28.67...>]"
