tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fahir İlkel Parkı,İSTANBUL,BOSNA,ÜMRANİYE,TANTAVİ,29.0839264961933,41.025350211174995,151349801,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Hacı Arif Bey 1 Parkı,İSTANBUL,BOSNA,ÜSKÜDAR,KISIKLI ,29.0839264961933,41.025350211174995,151350698,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Şehit Ünal Kalafat Parkı,İSTANBUL,SÜTÇÜ İMAM,ÜMRANİYE,NAMIK KEMAL,29.0839264961933,41.025350211174995,151349705,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Kardeş Şehir Geyve Parkı,İSTANBUL,MENTEŞOĞLU,ÜMRANİYE,TANTAVİ,29.085117228257733,41.025350211174995,151349805,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Barış Parkı,İSTANBUL,SÜTÇÜ İMAM,ÜMRANİYE,NAMIK KEMAL,29.086307960322166,41.025350211174995,151349704,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Denizciler Parkı,İSTANBUL,BOSNA,ÜMRANİYE,TANTAVİ,29.082735796615832,41.02624852234999,151349800,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Yavuz Selim Parkı,İSTANBUL,DARICILAR DERE,ÜSKÜDAR,YAVUZTÜRK ,29.08154509704278,41.028943455874966,151350666,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Mavera Parkı,İSTANBUL,EGEMENLİK,ÜMRANİYE,TANTAVİ,29.086308285213907,41.028943455874966,151349802,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Yavuztürk Parkı,İSTANBUL,DARICILAR DERE,ÜSKÜDAR,YAVUZTÜRK ,29.08154511328921,41.02984176704996,151350664,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Şehit Muhammet Parkı,İSTANBUL,AKIN,ÜMRANİYE,TANTAVİ,29.086308366446048,41.02984176704996,151349803,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Yıldırım Beyazıt Parkı,İSTANBUL,LOZAN,ÜMRANİYE,TANTAVİ,29.08749927721824,41.03074007822495,151349806,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Ayvazçayırı Sokak Boş Arazi,İSTANBUL,ESTERGON,ÜMRANİYE,ATATÜRK,29.089881066274177,41.031638389399944,151349769,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Prof. Dr. Bekir Topaloğlu Parkı,İSTANBUL,EGEMENLİK,ÜMRANİYE,TANTAVİ,29.09107191205845,41.031638389399944,151349804,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Genç Osman Parkı,İSTANBUL,EGEMENLİK,ÜMRANİYE,ELMALIKENT,29.09107191205845,41.031638389399944,151349653,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Manolya Parkı,İSTANBUL,PROF. BEKİR TOPALOĞLU,ÜMRANİYE,ELMALIKENT,29.092262920329066,41.03253670057494,151349655,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
Çiçek Parkı,İSTANBUL,SÜTÇÜYOLU,ÜSKÜDAR,YAVUZTÜRK ,29.088690561726697,41.03433332292492,151350663,"[<POLYGON ((29.088 41.035, 29.087 41.034, 29.087 41.033, 29.087 41.032, 29.08...>]"
