tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Keklik Sokak Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,SOĞUKPINAR,29.23048559799113,41.02769681117499,151347273,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Satı Kadın Parkı,İSTANBUL,BUKET,ÇEKMEKÖY,TAŞDELEN,29.23048559799113,41.02769681117499,151347241,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Dere Park,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,SOĞUKPINAR,29.23048559799113,41.02769681117499,151347194,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Taşdelen İMKB Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,MEŞALE,ÇEKMEKÖY,TAŞDELEN,29.232867146986695,41.02769681117499,151347238,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Karaçayır Parkı,İSTANBUL,ŞİLE YOLU,ÇEKMEKÖY,SOĞUKPINAR,29.234057921484478,41.02769681117499,151347191,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Fatma Zehra Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ULUSAL,ÇEKMEKÖY,EKŞİOĞLU,29.23524869598226,41.02769681117499,151347261,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Yusuf Cebir Merkez Cami Bahçesi,İSTANBUL,SULTAN MURAT,ÇEKMEKÖY,SULTANÇİFTLİĞİ,29.23048566297275,41.028595122349984,151347269,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Karanfil Parkı,İSTANBUL,SIRRI ÇELİK,ÇEKMEKÖY,TAŞDELEN,29.234058035202313,41.028595122349984,151347239,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Çekmeköy İlçe Emniyet Müdürlüğü Karşısı,İSTANBUL,SIRRI ÇELİK,ÇEKMEKÖY,TAŞDELEN,29.234058148925296,41.029493433524976,151347237,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Recep Yazıcıoğlu Parkı,İSTANBUL,TURGUT ÖZAL,ÇEKMEKÖY,TAŞDELEN,29.229295018451456,41.03129005587496,151347240,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Şehit Turan Çamur Parkı,İSTANBUL,TURGUT ÖZAL,ÇEKMEKÖY,EKŞİOĞLU,29.23405837638673,41.03129005587496,151347266,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Taşdelen Mahallesi Şehit Kubilay Caddesi Parkı,İSTANBUL,MOTİF,ÇEKMEKÖY,TAŞDELEN,29.228104211464338,41.032188367049955,151347242,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Cemal Güngör Parkı,İSTANBUL,KIRLANGIÇ,ÇEKMEKÖY,TAŞDELEN,29.230485987925018,41.03308667822495,151347274,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Sultan Çiftliği İlkokulu Bahçesi,İSTANBUL,TAŞDELEN,ÇEKMEKÖY,SULTANÇİFTLİĞİ,29.226913404481635,41.03488330057493,151347157,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,ATABEY,ÇEKMEKÖY,ALEMDAĞ,29.23167718492481,41.03667992292492,151347170,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
İspinoz Parkı,İSTANBUL,89.,ÇEKMEKÖY,ALEMDAĞ,29.231677347456166,41.038476545274904,151347169,"[<POLYGON ((29.237 41.027, 29.236 41.027, 29.236 41.028, 29.236 41.028, 29.23...>]"
