tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Zeytinburnu Stadı,İSTANBUL,69/2.,ZEYTİNBURNU,TELSİZ,28.91105137540976,40.99544901117499,151349887,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Dr.Ziya Gün Parkı,İSTANBUL,69/2.,ZEYTİNBURNU,TELSİZ,28.91105137540976,40.99544901117499,151349889,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Stad Parkı,İSTANBUL,69/2.,ZEYTİNBURNU,TELSİZ,28.91105137540976,40.99544901117499,151349888,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Ayvansaray Üniversitesi Bahçesi,İSTANBUL,BALIKLI KAZLIÇEŞME YOLU,ZEYTİNBURNU,KAZLIÇEŞME,28.91462195081952,40.99544901117499,151349891,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Zeytinburnu Millet Bahçesi,İSTANBUL,BELEDİYE,ZEYTİNBURNU,BEŞTELSİZ,28.911051424066795,40.99634732234998,151349901,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Osman Zeki Bayraktar Parkı,İSTANBUL,DR. SADIK AHMET,ZEYTİNBURNU,BEŞTELSİZ,28.909861313367404,40.99904225587496,151349897,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
75. Yıl Parkı,İSTANBUL,BALIKLI KAZLIÇEŞME YOLU,ZEYTİNBURNU,KAZLIÇEŞME,28.914622340102216,40.99904225587496,151349894,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Öğretmenler Parkı,İSTANBUL,DR. SADIK AHMET,ZEYTİNBURNU,BEŞTELSİZ,28.909861345811297,40.999940567049954,151349900,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Zeytinburnu Kız Anadolu İmam Hatip Bahçesi,İSTANBUL,ASIM KAZANCIGİL,ZEYTİNBURNU,KAZLIÇEŞME,28.912241891622596,40.999940567049954,151349895,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
TOKİ Seyitnizam Şehit Semih Balaban İmam Hatip Ortaokulu Bahçesi,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,SEYİTNİZAM,28.912241891622596,40.999940567049954,151349885,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Seyyid Nizam Cami Bahçesi,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,SEYİTNİZAM,28.912241956513338,41.00083887822495,151349886,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Seyitnizam Parkı,İSTANBUL,GÜMÜŞSUYU DAVUTPAŞA,ZEYTİNBURNU,SEYİTNİZAM,28.90867110535175,41.00173718939994,151349882,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
Gelişim Sitesi Yanı Yeşil Alan,İSTANBUL,SEYİTNİZAM,ZEYTİNBURNU,SEYİTNİZAM,28.909861475601584,41.003533811749925,151349880,"[<POLYGON ((28.911 40.995, 28.912 40.995, 28.914 40.995, 28.915 40.995, 28.91...>]"
