tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Orta Mahalle Orman Arazisi,İSTANBUL,ÖZTAŞ,TUZLA,ORTA ,29.40236188042126,40.87991861117499,151349509,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Cemil Türker Ortaokulu Bahçesi,İSTANBUL,ATAYOLU,TUZLA,TEPEÖREN,29.40236188042126,40.87991861117499,151440854,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
ŞULE YÜKSEL ŞENLER PARKI,KOCAELİ,ŞİLE,GEBZE,BALÇIK,29.40236188042126,40.87991861117499,151576205,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Tepeören Mahallesi Kültür Merkezi ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ESKİ ANKARA ASFALTI,TUZLA,TEPEÖREN,29.408302440473918,40.87991861117499,151440853,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Tepeören Sağlık Ocağı Bahçesi,İSTANBUL,ESKİ ANKARA ASFALTI,TUZLA,TEPEÖREN,29.404742168363406,40.88530847822495,151441294,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
6. Cadde Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.416636840851844,40.89878314584984,151349536,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Kudret Parkı,İSTANBUL,ATAYOLU,TUZLA,TEPEÖREN,29.389302940848,40.89968145702483,151349556,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Fırat Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.41901461399283,40.89968145702483,151349537,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Şehit J. Er Murat Aşçı Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.41901461399283,40.89968145702483,151349539,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
İshakpaşa Parkı,İSTANBUL,KEBAN,TUZLA,ORTA ,29.384549476667555,40.900579768199826,151349508,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Orta Mahalle Pazar Alanı,İSTANBUL,KEBAN,TUZLA,ORTA ,29.384549476667555,40.900579768199826,151349510,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Gençlik Parkı,İSTANBUL,DEMOKRASİ,TUZLA,ANADOLU,29.37741980511535,40.9041730128998,151349541,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Ulubey Sokak Parkı,İSTANBUL,DEMOKRASİ,TUZLA,TEPEÖREN,29.37742011186208,40.90507132407479,151349559,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Eski Ankara Asfaltı Caddesi Parkı,İSTANBUL,ÖZVATAN,TUZLA,TEPEÖREN,29.385740058337582,40.90507132407479,151349555,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Sosyal Tesisler Parkı,İSTANBUL,KANDİL,TUZLA,AKFIRAT ,29.41545415289295,40.90507132407479,151349538,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
KADILLI İLKOKULU,KOCAELİ,ŞİLE,GEBZE,KADILLI,29.44992508588262,40.906867946424775,151576213,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
Medeniyet Bulvarı Parkı,İSTANBUL,AVCI,TUZLA,TEPEÖREN,29.38574131772753,40.90776625759977,151349557,"[<POLYGON ((29.401 40.879, 29.402 40.88, 29.404 40.88, 29.407 40.88, 29.408 4...>]"
