tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Numan Seref Datlı İlkokulu Bahçesi,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,TEPEÜSTÜ,29.13563975734418,41.01290861117499,151349831,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Demir Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,ALTINŞEHİR,29.13563975734418,41.01290861117499,151349614,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Aşık Ümmani Can Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,MEHMET AKİF,29.13563975734418,41.01290861117499,151347125,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Cesur Parkı,İSTANBUL,DOĞANEVLER,ÜMRANİYE,ALTINŞEHİR,29.136830264512202,41.01290861117499,151349616,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Tepeüstü Parkı,İSTANBUL,ÖZTÜRK,ÜMRANİYE,TEPEÜSTÜ,29.13444936380924,41.013806922349985,151349832,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Asiye Ağaoğlu Anadolu Lisesi Bahçesi,İSTANBUL,DİKİLİAĞAÇ,ÜMRANİYE,TEPEÜSTÜ,29.132068398176745,41.01470523352498,151349833,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Eski Kadıköy Yolu Boş Arazi ,İSTANBUL,DİKİLİAĞAÇ,ÜMRANİYE,TEPEÜSTÜ,29.132068398176745,41.01470523352498,151349834,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Seyrek Sokak Boş Arazi,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,ÇAKMAK,29.130877923480455,41.01560354469997,151349820,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Ihlamurkuyu Merkez Camii Bahçesi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,IHLAMURKUYU,29.13564014696091,41.01560354469997,151349742,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Çakmak Spor Tesisi,İSTANBUL,UZUNAYNA,ÜMRANİYE,ÇAKMAK,29.12968741631685,41.016501855874964,151349822,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Sevgi 2 Parkı,İSTANBUL,UZUNAYNA,ÜMRANİYE,ÇAKMAK,29.12968741631685,41.016501855874964,151349813,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Ağaoğlu Mycity Bahçesi,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,ÇAKMAK,29.127306304578823,41.01829847822495,151349824,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
İBB Çakmak Yüzme Havuzu Arkası,İSTANBUL,ALEMDAĞ,ÜMRANİYE,FATİH SULTAN MEHMET,29.127306320816533,41.01919678939994,151349773,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
Meydan İstanbul AVM Otoparkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,FATİH SULTAN MEHMET,29.127306337054975,41.020095100574935,151349775,"[<POLYGON ((29.139 41.017, 29.138 41.017, 29.138 41.017, 29.138 41.017, 29.13...>]"
