tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Maçka Demokrasi Parkı,İSTANBUL,HÜSREV GEREDE,ŞİŞLİ,HARBİYE,28.996192287465828,41.04827721117499,151350657,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Nilüfer Hatun Ortaokulu Bahçesi,İSTANBUL,AHMET FETGERİ,ŞİŞLİ,TEŞVİKİYE,28.996192287465828,41.04827721117499,151350632,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Yumurtacı Ahmet Bayraktar Parkı,İSTANBUL,NÜZHETİYE,BEŞİKTAŞ,TÜRKALİ,28.996192287465828,41.04827721117499,151346456,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Ihlamur Kasrı (Beşiktaş),İSTANBUL,ÖMER RÜŞTÜ PAŞA,ŞİŞLİ,TEŞVİKİYE,28.997383434332285,41.04827721117499,151439794,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Şenlik Dede Parkı,İSTANBUL,HÜSREV GEREDE,BEŞİKTAŞ,VİŞNEZADE,28.997383434332285,41.04827721117499,151346463,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Akkavak Parkı,İSTANBUL,AHMET FETGERİ,ŞİŞLİ,TEŞVİKİYE,28.9950011893862,41.049175522349984,151350631,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Dünya Barış Parkı,İSTANBUL,IHLAMUR TEŞVİKİYE YOLU,BEŞİKTAŞ,TÜRKALİ,28.998574776350477,41.050073833524976,151346480,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Cumhuriyet Parkı,İSTANBUL,TEŞVİKİYE,ŞİŞLİ,HARBİYE,28.992618895655497,41.05097214469997,151350564,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Azerbaycan Dostluk Parkı,İSTANBUL,HAKKI YETEN,BEŞİKTAŞ,DİKİLİTAŞ,28.998574873932984,41.05097214469997,151346437,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Albay Sadi Alantar Sokak Çocuk Parkı,İSTANBUL,VALİ KONAĞI,ŞİŞLİ,MEŞRUTİYET,28.993810123839967,41.05187045587496,151350600,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Haydar Aliyev Parkı,İSTANBUL,YEŞİLÇİMEN,ŞİŞLİ,FULYA,28.998574971519904,41.05187045587496,151350643,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Çetin Emeç Parkı,İSTANBUL,HAKKI YETEN,BEŞİKTAŞ,DİKİLİTAŞ,29.000957395359872,41.05187045587496,151346440,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Şehit J.Komd.Çvş.Ümit Sabri Mıhçılar Çocuk Parkı,İSTANBUL,HAKKI YETEN,ŞİŞLİ,FULYA,28.99619261274084,41.052768767049955,151350645,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
Otim Otoparkı Bülent Tercan Sokak,İSTANBUL,HAKKI YETEN,ŞİŞLİ,FULYA,28.99738408492653,41.05546370057493,151350650,"[<POLYGON ((29.001 41.049, 29.001 41.05, 29.002 41.05, 29.002 41.051, 29 41.0...>]"
