tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çapa Fen Lisesi Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MOLLA GÜRANİ,28.9331278154804,41.015385811174994,151347794,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Gazi İmam Hatip Ortaokulu Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,ŞEHREMİNİ,28.9331278154804,41.015385811174994,151347681,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Şehremini Anadolu Lisesi Bahçesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,ŞEHREMİNİ,28.9331278154804,41.015385811174994,151347680,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Özel Oğuzkaan İlkokulu Bahçesi,İSTANBUL,BEZM-İ ALEM,FATİH,MOLLA GÜRANİ,28.9355089193505,41.015385811174994,151347773,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Büyük Saray Meydanı Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,ŞEHREMİNİ,28.931937377192607,41.01628412234999,151347677,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Sefa Bostanı Parkı,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,TOPKAPI,28.931937377192607,41.01628412234999,151347619,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Engelliler Parkı,İSTANBUL,KAPTAN SİNAN,FATİH,MOLLA GÜRANİ,28.93908078621484,41.01628412234999,151347769,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Vatan Cad. Meydanı,İSTANBUL,KAPTAN SİNAN,FATİH,MOLLA GÜRANİ,28.93908078621484,41.01628412234999,151347767,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Şenol Güneş Parkı,İSTANBUL,ADNAN MENDERES VATAN,FATİH,AKŞEMSETTİN,28.940271354385214,41.01628412234999,151347685,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Fatih Atatürk Çağdaş Yaşam Çok Programlı Anadolu Lisesi,İSTANBUL,TURGUT ÖZAL MİLLET,FATİH,MEVLANAKAPI,28.929556322032152,41.01718243352498,151347658,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
Özel Topkapı Doğa İlkokulu Bahçesi,İSTANBUL,PAZAR TEKKESİ,FATİH,TOPKAPI,28.930746906438582,41.01718243352498,151347622,"[<POLYGON ((28.936 41.015, 28.936 41.016, 28.937 41.017, 28.937 41.017, 28.93...>]"
