tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şehit Mustafa Piroğlu Parkı,İSTANBUL,DEMOKRASİ,KARTAL,YUNUS,29.21685161745282,40.89120641117499,151348394,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Emir Sencer Ortaokulu Bahçesi,İSTANBUL,DEMOKRASİ,KARTAL,YUNUS,29.21685161745282,40.89120641117499,151348390,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Şehit Ütğm Gökhan Yavuz Parkı,İSTANBUL,TOPSELVİ,KARTAL,YALI,29.21685161745282,40.89120641117499,151348500,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Bosnalı Şehit Çocukları Parkı,İSTANBUL,KARAAĞAÇ,PENDİK,SAPAN BAĞLARI,29.218039932134424,40.89120641117499,151350162,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Swedish Sports Club,İSTANBUL,TOPSELVİ,KARTAL,YALI,29.218039932134424,40.89120641117499,151348498,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Atatürk Parkı,İSTANBUL,KEMAL PAŞA,KARTAL,YUNUS,29.21566341570936,40.892104722349984,151348388,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Kartal Atatürk İlkokulu Bahçesi,İSTANBUL,KUBİLAY,KARTAL,YUNUS,29.214475278515113,40.89390134469997,151348391,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Yalı Temel Eğitim Tesis Alanı,İSTANBUL,TOPSELVİ,KARTAL,YALI,29.216852004686817,40.89390134469997,151348501,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Şehit İbrahim Doğan Parkı,İSTANBUL,AREFE,KARTAL,TOPSELVİ,29.21447547215401,40.895697967049955,151348542,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Kıbrıs Şehitleri Cami Bahçesi,İSTANBUL,SARIKÖY,KARTAL,TOPSELVİ,29.212098745986697,40.89659627822495,151348541,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Yusuf Akçura  Parkı,İSTANBUL,SEÇENLER,KARTAL,YUNUS,29.20972195527015,40.89749458939994,151348393,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Fatin Rüştü Zorlu Anadolu Lisesi Bahçesi,İSTANBUL,DİPÇİK,KARTAL,TOPSELVİ,29.210910479742207,40.899291211749926,151348540,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Selçuk Eraydın Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,YAKACIK D-100 KUZEY YANYOL,KARTAL,CUMHURİYET,29.218041384491954,40.90018952292492,151348515,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Şehit Şükrü Bayrakcı İlkokulu Bahçesi,İSTANBUL,YAKACIK D-100 KUZEY YANYOL,KARTAL,CUMHURİYET,29.215664658366276,40.901986145274904,151348517,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Kartal Köprüsü Eski Oto Pazarı,İSTANBUL,SOĞANLIK D-100 KUZEY YANYOL,KARTAL,ORTA,29.208533624480825,40.9028844564499,151348507,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
Açık ve Kapalı Spor Tesisi (Halı Saha Alanı),İSTANBUL,YAKACIK D-100 KUZEY YANYOL,KARTAL,CUMHURİYET,29.21566477136577,40.9028844564499,151348511,"[<POLYGON ((29.219 40.901, 29.217 40.902, 29.217 40.903, 29.214 40.904, 29.21...>]"
