tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İBB Mimar Turgut Cansever İlkokulu Bahçesi,İSTANBUL,ÇARŞAMBA,BÜYÜKÇEKMECE,TÜRKOBA,28.5133987882792,41.02177581117499,151346957,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Güzelce Türkoba Cad. Parkı,İSTANBUL,ÇARŞAMBA,BÜYÜKÇEKMECE,GÜZELCE,28.5133987882792,41.02177581117499,151439880,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Tepekent Borsa İstanbul Anadolu Lisesi,İSTANBUL,ÇARŞAMBA,BÜYÜKÇEKMECE,TÜRKOBA,28.5133987882792,41.02177581117499,151346956,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Şehit Sadık Bezer Parkı,İSTANBUL,SULTAN MURAT,BÜYÜKÇEKMECE,MURAT ÇESME,28.515780123156286,41.02177581117499,151346910,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Engelliler Eğitim Merkezi Bahçesi,İSTANBUL,SULTAN MURAT,BÜYÜKÇEKMECE,MURAT ÇESME,28.521733460349,41.02177581117499,151346913,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Ahmet Yesevi Parkı(Eski Ömür Sk. Parkı),İSTANBUL,SULTAN MURAT,BÜYÜKÇEKMECE,MURAT ÇESME,28.522924127787544,41.02177581117499,151346911,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Zeynel Abidin Cami Arkası,İSTANBUL,KAYALAR,BÜYÜKÇEKMECE,TÜRKOBA,28.522925881847097,41.02447074469997,151346953,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Türkoaba Meydanı,İSTANBUL,ERYAMAN,BÜYÜKÇEKMECE,TÜRKOBA,28.516972804560616,41.02536905587496,151346951,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
Türkoba İlkokulu Bahçesi,İSTANBUL,ERYAMAN,BÜYÜKÇEKMECE,TÜRKOBA,28.518163536965798,41.02536905587496,151346958,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
İSKİ Hizmet Alanı,İSTANBUL,ARNAVUTTEPE,BÜYÜKÇEKMECE,HÜRRİYET,28.53007086101761,41.02536905587496,151346945,"[<POLYGON ((28.529 41.023, 28.529 41.023, 28.529 41.024, 28.53 41.024, 28.53 ...>]"
