tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ortaköy Vadisi Kentsel Park Alanı 2,İSTANBUL,LEYLAK,BEŞİKTAŞ,ULUS,29.02434396468211,41.06128061117499,151346481,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Meyve Bahçesi parkı,İSTANBUL,AMBARLIDERE YOLU,BEŞİKTAŞ,ORTAKÖY,29.02434396468211,41.06128061117499,151346462,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Ortaköy Vadisi Kentsel Park Alanı 1,İSTANBUL,AMBARLIDERE YOLU,BEŞİKTAŞ,LEVAZIM,29.02434396468211,41.06128061117499,151346458,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Hayrettin Karaca parkı,İSTANBUL,OKUL YOLU,BEŞİKTAŞ,ORTAKÖY,29.027918111705276,41.06128061117499,151346461,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Ulus Parkı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,KURUÇEŞME,29.02910949404633,41.06128061117499,151346465,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Robert Koleji Yeşil Alanı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,KÜLTÜR,29.03030099029803,41.062178922349986,151346477,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Kor.Gen.Faruk Güventürk Parkı,İSTANBUL,YENİ BAHAR,BEŞİKTAŞ,LEVAZIM,29.02315261488769,41.06307723352498,151346459,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Gözde Parkı,İSTANBUL,DOĞA,BEŞİKTAŞ,NİSBETİYE,29.024344062324218,41.06397554469997,151346467,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Prof. Dr. Aykut Barka Parkı,İSTANBUL,AHMET ADNAN SAYGUN,BEŞİKTAŞ,KÜLTÜR,29.029110275271698,41.068467100574935,151346434,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
Reyhan Parkı,İSTANBUL,İSTİKLAL,BÜYÜKÇEKMECE,HÜRRİYET,28.544183323045438,41.023661811174996,151346944,"[<POLYGON ((29.022 41.066, 29.022 41.066, 29.022 41.065, 29.022 41.064, 29.02...>, <POLYGON ((28.531 41.074, 28.529 41.072, 28.528 41.072, 28.526 41.071, 28.52...>]"
