tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gaziler Cami Bahçesi,İSTANBUL,HAYRAT,KARTAL,UĞUR MUMCU,29.208634336706265,40.92479001117499,151348483,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Meral Akşehirlioğlu Cami Bahçesi,İSTANBUL,BALIKESİR,KARTAL,GÜMÜŞPINAR,29.208634336706265,40.92479001117499,151348378,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Prof.Dr. Dilhan Eryurt Parkı,İSTANBUL,HAYRAT,KARTAL,UĞUR MUMCU,29.208634336706265,40.92479001117499,151348496,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Söğütlü Parkı ,İSTANBUL,ŞEHİT AYDIN ÇELİK,KARTAL,UĞUR MUMCU,29.21101217341253,40.92479001117499,151348486,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Uğur Mumcu Yunus Emre Cami Bahçesi,İSTANBUL,ŞEHİT AYDIN ÇELİK,KARTAL,UĞUR MUMCU,29.213390107086862,40.925688322349984,151348494,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Serçe Parkı ,İSTANBUL,AKASYA,KARTAL,UĞUR MUMCU,29.212201253382766,40.92658663352498,151348489,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Lale Parkı,İSTANBUL,ŞEHİT AYDIN ÇELİK,KARTAL,GÜMÜŞPINAR,29.214579154735873,40.92658663352498,151348376,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Şeyh Şamil Parkı,İSTANBUL,SIHHAT,KARTAL,UĞUR MUMCU,29.20744546683936,40.92748494469997,151348492,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Hacı Hatice Bayraktar Lisesi Karşısı Yeşil Alan,İSTANBUL,ŞEYH ŞAMİL,KARTAL,UĞUR MUMCU,29.21457926787553,40.92748494469997,151348485,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Şehit Burak Cantürk Ticaret Meslek Lisesi Bahçesi,İSTANBUL,SARUHANLI,KARTAL,UĞUR MUMCU,29.2074454830029,40.92838325587496,151348495,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Hacı Hatice Bayraktar Lisesi Bahçesi,İSTANBUL,UZUNYURT,KARTAL,UĞUR MUMCU,29.21576836402321,40.92838325587496,151348484,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Yunus Emre Parkı 2,İSTANBUL,UZUNYURT,KARTAL,UĞUR MUMCU,29.21695734702611,40.92838325587496,151348497,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Balcıdere Cami Bahçesi,İSTANBUL,ŞEHİT AYDIN ÇELİK,KARTAL,YAKACIK YENİ,29.21814633002901,40.92838325587496,151348417,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Neşet Ertaş Parkı Parkı,İSTANBUL,ŞEHİT AYDIN ÇELİK,KARTAL,UĞUR MUMCU,29.219335313031912,40.92838325587496,151348488,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Kartal Milli Eğitim Vakfı Ortaokulu Bahçesi,İSTANBUL,SAFAHAT,KARTAL,UĞUR MUMCU,29.21576862265741,40.93017987822495,151348487,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Şehit Gaffar Okan Parkı,İSTANBUL,ŞEHİT TURAN DAMGACI,KARTAL,UĞUR MUMCU,29.20744553149791,40.93107818939994,151348490,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Şelale Parkı,İSTANBUL,ŞEYH ŞAMİL,KARTAL,UĞUR MUMCU,29.212201738321895,40.93197650057493,151348491,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Fatih Sultan Mehmet Parkı,İSTANBUL,AKŞEMSETTİN,KARTAL,UĞUR MUMCU,29.21695792897941,40.93197650057493,151348482,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Tavşantepe Parkı,İSTANBUL,MODA,KARTAL,UĞUR MUMCU,29.208634659999017,40.93377312292492,151348493,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Adnan Kahveci Cami Bahçesi,İSTANBUL,ŞEYH ŞAMİL,KARTAL,UĞUR MUMCU,29.213390979997055,40.93377312292492,151348478,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Eyyüp Genç İlköğretim Okulu Bahçesi,İSTANBUL,AKZAMBAK,KARTAL,UĞUR MUMCU,29.212201980840877,40.93467143409991,151348481,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Akşemsettin Parkı,İSTANBUL,ÜSLUP,KARTAL,UĞUR MUMCU,29.213391077009053,40.93467143409991,151348480,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Adnan Kahveci Parkı,İSTANBUL,SAMANDIRA,KARTAL,UĞUR MUMCU,29.219336557849932,40.93467143409991,151348479,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
0/1961 Parsel (Fenerbahçe Tes.Yanı) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,BAKKALKÖY,SANCAKTEPE,FATİH,29.216959821055667,40.94365454584984,151350490,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
Fenerbahçe Parkı,İSTANBUL,BAKKALKÖY,SANCAKTEPE,FATİH,29.215770821993917,40.945451168199824,151350482,"[<POLYGON ((29.215 40.927, 29.216 40.927, 29.216 40.927, 29.217 40.927, 29.21...>]"
