tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cahit Zarifoğlu Parkı,İSTANBUL,LAMİÇELEBİ ÇIKMAZI,ÜSKÜDAR,VALİDE-İ ATİK,29.02700338173733,41.01603251117499,151350809,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Barbaros Açık Oto Pazarı,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,BARBAROS ,29.02700338173733,41.01603251117499,151350723,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Zeynep Kamil Parkı,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,ZEYNEP KAMİL,29.02700338173733,41.01603251117499,151350791,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Pazarbaşı Parkı,İSTANBUL,MİROĞLU,ÜSKÜDAR,VALİDE-İ ATİK,29.02819394536022,41.01603251117499,151350812,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Divitçiler Parkı,İSTANBUL,ESKİ TOPTAŞI,ÜSKÜDAR,VALİDE-İ ATİK,29.02462231943496,41.016930822349984,151350810,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Kasımağa Parkı,İSTANBUL,ESKİ TOPTAŞI,ÜSKÜDAR,VALİDE-İ ATİK,29.02462231943496,41.016930822349984,151350814,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Burhan Felek Atletizm Pisti,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,BARBAROS ,29.02938463886992,41.016930822349984,151350722,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Cumhuriyet Parkı,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,BARBAROS ,29.02938463886992,41.016930822349984,151350711,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Sokullu Mehmet Paşa İlkokulu Bahçesi,İSTANBUL,ESKİ TOPTAŞI,ÜSKÜDAR,VALİDE-İ ATİK,29.022241192190663,41.01782913352498,151350813,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Belediye Binası Önü,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,MİMAR SİNAN,29.022241192190663,41.01782913352498,151350917,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Hayrettin Çavuş Parkı,İSTANBUL,ESKİ TOPTAŞI,ÜSKÜDAR,VALİDE-İ ATİK,29.022241192190663,41.01782913352498,151350808,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Validei Atık Parkı,İSTANBUL,KARTALBABA,ÜSKÜDAR,VALİDE-İ ATİK,29.025812980476655,41.01782913352498,151350811,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Fıstıklıbayır Parkı,İSTANBUL,KARAMANOĞLU,ÜSKÜDAR,VALİDE-İ ATİK,29.030575364857977,41.01782913352498,151350896,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Üsküdar Cumhuriyet Anadolu Meslek Lisesi Bahçesi,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,MURATREİS,29.025813061663268,41.01872744469997,151350867,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Soyak Sitesi Parkı ve Yanı,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,MURATREİS,29.029384898661228,41.01872744469997,151350868,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Valide Tayfun Spor Kulübü Halı Sahası,İSTANBUL,ÇAVUŞDERE,ÜSKÜDAR,MURATREİS,29.023431885712135,41.01962575587496,151350866,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Ahmet Keleşoğlu Anadolu Lisesi Bahçesi,İSTANBUL,ALLAME,ÜSKÜDAR,MURATREİS,29.031766285707114,41.01962575587496,151350916,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Huzur Parkı,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,BARBAROS ,29.032956914277825,41.01962575587496,151350849,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Goncagül Parkı,İSTANBUL,ALLAME,ÜSKÜDAR,MURATREİS,29.03176644809505,41.020524067049955,151350863,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
Marmara Üniversitesi Bahçesi,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,ALTUNİZADE,29.034147737714058,41.020524067049955,151350911,"[<POLYGON ((29.028 41.015, 29.028 41.015, 29.029 41.015, 29.029 41.016, 29.02...>]"
