tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İski Önü Boş Alan,İSTANBUL,ZALOĞLU RÜSTEM,SANCAKTEPE,VEYSEL KARANİ,29.237270459776028,40.96005001117499,151350394,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Rıza Çalımbay Spor Parkı,İSTANBUL,ZALOĞLU RÜSTEM,SANCAKTEPE,VEYSEL KARANİ,29.237270459776028,40.96005001117499,151350544,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Sancaktepe Anadolu Lisesi Bahçesi,İSTANBUL,ZALOĞLU RÜSTEM,SANCAKTEPE,VEYSEL KARANİ,29.237270459776028,40.96005001117499,151350396,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Veysel Karani Parkı,İSTANBUL,SAKARYA,SANCAKTEPE,VEYSEL KARANİ,29.238460013034704,40.96005001117499,151350392,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Hasanpaşa Orman Toplanma Alanı,İSTANBUL,ORMAN,SANCAKTEPE,VEYSEL KARANİ,29.242028672810733,40.96005001117499,151349199,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Erikli Pınar Camii Bahçesi,İSTANBUL,AYTEMUR,SANCAKTEPE,VEYSEL KARANİ,29.23489138563959,40.96184663352498,151350395,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Cahar Dudayev Parkı,İSTANBUL,KARAYEL,SULTANBEYLİ,HASANPAŞA,29.24321848511672,40.96184663352498,151349200,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Veysel Karani İlkokulu Bahçesi,İSTANBUL,ZALOĞLU RÜSTEM,SANCAKTEPE,VEYSEL KARANİ,29.23727060549345,40.96274494469997,151350397,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Hasanpaşa Parkı,İSTANBUL,KARTAL,SULTANBEYLİ,HASANPAŞA,29.2432188737317,40.964541567049956,151349202,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Şehit Polis Ersoy Karacaoğlan Parkı,İSTANBUL,KANUNİ,SANCAKTEPE,AKPINAR,29.23608116559987,40.967236500574934,151350493,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Cengiz Topel İlkokulu Bahçesi,İSTANBUL,KANUNİ,SANCAKTEPE,AKPINAR,29.23608116559987,40.967236500574934,151350501,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Kamelya Parkı,İSTANBUL,BEKÇİ,SANCAKTEPE,VEYSEL KARANİ,29.242029692971258,40.96813481174993,151350393,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Simyacı Çocuk Parkı,İSTANBUL,KANUNİ,SANCAKTEPE,AKPINAR,29.23727094557775,40.96903312292492,151350498,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Karanfil Parkı,İSTANBUL,KANUNİ,SANCAKTEPE,AKPINAR,29.23846072556004,40.96993143409991,151350494,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Gülbahar Hatun Anaokulu Bahçesi,İSTANBUL,PETROL YOLU,SULTANBEYLİ,HASANPAŞA,29.244409528293506,40.970829745274905,151349204,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Tevhid Parkı,İSTANBUL,CEVİZLİ,SULTANBEYLİ,HASANPAŞA,29.246789201657663,40.9717280564499,151349201,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Nar Çiçeği Çocuk Bahçesi,İSTANBUL,SEKMEN,SANCAKTEPE,OSMANGAZİ,29.239650699933424,40.97262636762489,151350416,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Hüsnü M. Özyeğin Anadolu Lisesi Bahçesi,İSTANBUL,AKDERE,SULTANBEYLİ,HASANPAŞA,29.249169150431587,40.97352467879988,151349206,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Güvercin Çocuk Bahçesi,İSTANBUL,SEKMEN,SANCAKTEPE,OSMANGAZİ,29.24203048671696,40.974422989974876,151350405,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
Şehit Piyade Uzm. Çvş. Caner Çelik Parkı,İSTANBUL,SEKMEN,SANCAKTEPE,OSMANGAZİ,29.239650942949805,40.97532130114987,151350411,"[<POLYGON ((29.25 40.974, 29.25 40.975, 29.249 40.975, 29.248 40.975, 29.247 ...>]"
