tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
10 Aralık Şehitler Parkı (İTÜ Makine Fakültesi karşısı Yeşil Alan),İSTANBUL,MECLİS-İ MEBUSAN,BEYOĞLU,ÖMER AVNİ ,28.995485309546826,41.03766311117499,151346889,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Maçka Demokrasi Parkı,İSTANBUL,DOLMABAHÇE GAZHANE,ŞİŞLİ,HARBİYE,28.995485309546826,41.03766311117499,151350657,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Fındıklı Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,MECLİS-İ MEBUSAN,BEYOĞLU,ÖMER AVNİ ,28.995485309546826,41.03766311117499,151346887,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
İsmet İnönü Çocuk Parkı,İSTANBUL,DOLMABAHÇE,BEŞİKTAŞ,VİŞNEZADE,28.99667626432024,41.03766311117499,151350622,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Şişli Evlendirme Dairesi Önü (Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,DOLMABAHÇE GAZHANE,ŞİŞLİ,HARBİYE,28.994294371026985,41.038561422349986,151350568,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Şairler Sofası Parkı,İSTANBUL,DOLMABAHÇE,BEŞİKTAŞ,VİŞNEZADE,28.99905825513493,41.038561422349986,151346464,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Uğur Mumcu Meydanı-Sinanpaşa Cami Bahçesi,İSTANBUL,SÜLEYMAN SEBA,BEŞİKTAŞ,SİNANPAŞA,29.00144031096906,41.03945973352498,151346449,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Şenlik Dede Parkı,İSTANBUL,DOLMABAHÇE,BEŞİKTAŞ,VİŞNEZADE,29.002631298250353,41.03945973352498,151346463,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Abbasağa Parkı,İSTANBUL,BARBAROS,BEŞİKTAŞ,CİHANNÜMA,29.00382243182707,41.04035804469997,151346479,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
İTÜ Taşkışla Kampüsü,İSTANBUL,KADIRGALAR,ŞİŞLİ,HARBİYE,28.994294419792123,41.041256355874964,151350567,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
Yumurtacı Ahmet Bayraktar Parkı,İSTANBUL,ŞAİR NEDİM,BEŞİKTAŞ,TÜRKALİ,29.000249811383345,41.04395128939994,151346456,"[<POLYGON ((29 41.046, 28.999 41.047, 28.998 41.047, 28.997 41.047, 28.997 41...>]"
