tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fevzi Çakmak Parkı (Çağlayan),İSTANBUL,OKUL,KAĞITHANE,ÇAĞLAYAN,28.987636424976444,41.08191081117499,151348281,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Okul Cad. Sarmaşık Parkı Karşısı Yeşil Alan,İSTANBUL,OKUL,KAĞITHANE,ÇAĞLAYAN,28.987636424976444,41.08191081117499,151348280,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Zişan Alkoç Ortaokulu Bahçesi,İSTANBUL,KIVRIM,KAĞITHANE,YAHYA KEMAL,28.987636424976444,41.08191081117499,151348312,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Şair Yahya Kemal İlkokulu Bahçesi,İSTANBUL,HAKAN,KAĞITHANE,YAHYA KEMAL,28.98644471760201,41.082809122349985,151348313,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Mithatpaşa Parkı,İSTANBUL,HAKAN,KAĞITHANE,YAHYA KEMAL,28.98644471760201,41.082809122349985,151348307,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Harmantepe Katlı Otopark Üstü Park,İSTANBUL,ŞUBAT,KAĞITHANE,HARMANTEPE,28.988828262670015,41.082809122349985,151348251,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Harmantepe Parkı,İSTANBUL,ŞUBAT,KAĞITHANE,HARMANTEPE,28.988828262670015,41.082809122349985,151348250,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Cemre Parkı,İSTANBUL,CEMRE,KAĞITHANE,HARMANTEPE,28.99002003520402,41.082809122349985,151348249,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Aksu Sokak Yeşil Alanı,İSTANBUL,OKUL,KAĞITHANE,YAHYA KEMAL,28.986444766473902,41.08370743352498,151348309,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Yahya Kemal Futbol Sahası,İSTANBUL,TALATPAŞA,KAĞITHANE,YAHYA KEMAL,28.98882834412317,41.08370743352498,151348311,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Hilal Parkı,İSTANBUL,GÜZELDERE,KAĞITHANE,ŞİRİNTEPE,28.988828425580003,41.08460574469997,151348208,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Hasan Hüseyin Parkı,İSTANBUL,AYARCI,KAĞITHANE,ŞİRİNTEPE,28.991212035812005,41.08460574469997,151348207,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Ayazma Parkı,İSTANBUL,MİTHATPAŞA,KAĞITHANE,YAHYA KEMAL,28.98406122140811,41.085504055874964,151348308,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Mustafa Yoldaş Parkı,İSTANBUL,AKYAYLA,KAĞITHANE,YAHYA KEMAL,28.984061237700953,41.086402367049956,151348306,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Yahya Kemal Minibüs Son Durağı,İSTANBUL,YAHYA KEMAL,KAĞITHANE,YAHYA KEMAL,28.985253075401907,41.086402367049956,151348310,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Şehit Adem Yavuz Ortaokulu Bahçesi,İSTANBUL,GÜZELDERE,KAĞITHANE,ŞİRİNTEPE,28.987636750803816,41.086402367049956,151348209,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
Su Parkı,İSTANBUL,BAYRAK,KAĞITHANE,YAHYA KEMAL,28.984061253994536,41.08730067822495,151348305,"[<POLYGON ((28.985 41.084, 28.986 41.084, 28.986 41.083, 28.987 41.082, 28.98...>]"
