tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Kartal Huzur Evi Yanı Doktorlar Sitesi Önü,İSTANBUL,VATANSEVER,KARTAL,HÜRRİYET,29.23787572877663,40.908222311174995,151348529,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Kurfallı Fatih Cami Bahçesi,İSTANBUL,VATANSEVER,KARTAL,HÜRRİYET,29.23787572877663,40.908222311174995,151348531,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Özkan Parkı,İSTANBUL,VATANSEVER,KARTAL,HÜRRİYET,29.23787572877663,40.908222311174995,151348533,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Bahtiyar Konuksan Parkı,İSTANBUL,VATANSEVER,KARTAL,HÜRRİYET,29.241441590030433,40.908222311174995,151348523,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Kardelen  Çocuk Parkı,İSTANBUL,DAĞÇİLEĞİ,PENDİK,VELİBABA,29.242630210448368,40.908222311174995,151350324,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Kartal Köprüsü Eski Oto Pazarı,İSTANBUL,YALNIZ SELVİ,KARTAL,ORTA,29.214103336565792,40.90912062234999,151348507,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Şeyh Edebali Cami Bahçesi,İSTANBUL,KARTAL,KARTAL,CUMHURİYET,29.214103336565792,40.90912062234999,151348518,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Hacı İsmail Gündoğdu Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,KARTAL,KARTAL,CUMHURİYET,29.214103336565792,40.90912062234999,151348513,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Çağlayan Sokak Parkı,İSTANBUL,DAĞÇİLEĞİ,PENDİK,VELİBABA,29.245007887276408,40.90912062234999,151350323,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Açık ve Kapalı Spor Tesisi (Halı Saha Alanı),İSTANBUL,KARTAL,KARTAL,CUMHURİYET,29.215292005428765,40.91001893352498,151348511,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
Şehit Ayhan Abbas Çatalçam Parkı,İSTANBUL,VATANSEVER,KARTAL,HÜRRİYET,29.234310448858892,40.91001893352498,151348534,"[<POLYGON ((29.25 40.923, 29.25 40.924, 29.25 40.925, 29.249 40.927, 29.248 4...>]"
