tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Özel Marmara Evleri İhlas Koleji,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.686429611206318,40.969446011174995,151346721,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Marmara Beylik Spor Kulübü,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.686429611206318,40.969446011174995,151346720,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Hürriyet Parkı Karşısı Refüj Alanı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.686429611206318,40.969446011174995,151346719,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
24.Sokak Parkı,İSTANBUL,TEST,BEYLİKDÜZÜ,YAKUPLU,28.69000023698268,40.97214094469997,151346654,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Avcılar Belediyesi Termimal Arkası,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.691190008215436,40.97214094469997,151345650,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Müjdat Gezen Parkı ve Yanı,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.69475987271242,40.973039255874966,151345647,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
İnönü İlkokulu Bahçesi,İSTANBUL,ETİBANK TESİSLER YOLU,AVCILAR,AMBARLI,28.69594966014514,40.973039255874966,151345695,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Ambarlı Mh. Kapalı Semt Pazarı,İSTANBUL,ETİBANK TESİSLER YOLU,AVCILAR,AMBARLI,28.699519022443294,40.973039255874966,151345697,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Avcılar Belediyesi Çocuk Evi Bahçesi,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.69832983443639,40.97393756704996,151345652,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
İhlas 1.Kısım Çarşı Otoparkı,İSTANBUL,LİMAN,BEYLİKDÜZÜ,MARMARA,28.685242415705982,40.97483587822495,151346722,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Avcılar Rehberlik ve Araştırma Merkezi Arkası,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.695953062676498,40.97842912292492,151345646,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Şehit Ayhan Arslan Sok. Toplanma Alanı,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.691194528823864,40.98022574527491,151345643,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Nimet Kamuran Korkmaz Öz.Eğ.Uyg.Okulu II.Kad.Bahçesi,İSTANBUL,PETROL OFİSİ,AVCILAR,CİHANGİR,28.69833403117687,40.98022574527491,151345649,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Sarı Zeybek Caddesi Parkı,İSTANBUL,GENÇ OSMAN,BEYLİKDÜZÜ,YAKUPLU,28.690005097961926,40.9811240564499,151346663,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Fatih Sultan Mehmet Parkı,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,MARMARA,28.675726774011057,40.98381898997488,151346711,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Fatih Sultan Mehmet Cadde Üzeri Parkı,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,YAKUPLU,28.675726774011057,40.98381898997488,151346657,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Kızılay Parkı,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,MARMARA,28.67334706958407,40.98471730114987,151346715,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Agora Çiftliği,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,MARMARA,28.67334706958407,40.98471730114987,151346723,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Şehit Piyade Asb Bilal Özcan Parkı,İSTANBUL,SELANİK,BEYLİKDÜZÜ,YAKUPLU,28.67572706578208,40.98471730114987,151346665,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Kocatepe Caddesi Parkı,İSTANBUL,95.,BEYLİKDÜZÜ,KAVAKLI,28.666207243092412,40.985615612324864,151346740,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Ayasofya Cd Parkı,İSTANBUL,95.,BEYLİKDÜZÜ,KAVAKLI,28.666207243092412,40.985615612324864,151346726,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Şehitler Caddesi Parkı,İSTANBUL,95.,BEYLİKDÜZÜ,KAVAKLI,28.666207243092412,40.985615612324864,151346750,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Fatih Sultan Mehmet Caddesi Parkı,İSTANBUL,95.,BEYLİKDÜZÜ,YAKUPLU,28.667397257401653,40.985615612324864,151346656,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
234. Sokak Ağaçlandırma Alanı,İSTANBUL,FATİH SULTAN MEHMET,BEYLİKDÜZÜ,MARMARA,28.668587271710894,40.985615612324864,151346708,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Malazgirt Parkı,İSTANBUL,95.,BEYLİKDÜZÜ,YAKUPLU,28.667397435722346,40.98651392349986,151346659,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Serander Parkı ( Aynı Zamanda TRANSFER ALANIDIR.) ,İSTANBUL,93.,BEYLİKDÜZÜ,YAKUPLU,28.66739761405109,40.98741223467485,151346664,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Oğuzhan Parkı,İSTANBUL,46.,BEYLİKDÜZÜ,YAKUPLU,28.673347847710676,40.98741223467485,151346662,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Turgut Reis Parkı,İSTANBUL,50.,BEYLİKDÜZÜ,YAKUPLU,28.674538445678035,40.989208857024835,151346666,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
İhlas Marmara Evleri,İSTANBUL,KAVAKLI,BEYLİKDÜZÜ,KAVAKLI,28.656687290742877,40.99010716819983,151346738,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
İhlas Marmara Evleri 2.Kısım,İSTANBUL,KAVAKLI,BEYLİKDÜZÜ,KAVAKLI,28.656687290742877,40.99010716819983,151346739,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Aydın Menderes Cd Parkı,İSTANBUL,KAVAKLI,BEYLİKDÜZÜ,KAVAKLI,28.66025757685719,40.99010716819983,151346727,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
Enver Adakan Parkı 1,İSTANBUL,RIFAT ILGAZ,BEYLİKDÜZÜ,BARIŞ,28.65549721158608,40.99100547937482,151346671,"[<POLYGON ((28.7 40.974, 28.7 40.974, 28.699 40.974, 28.699 40.975, 28.699 40...>]"
