tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pazarcık Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ATAKENT,29.112622734966664,41.023319911174994,151349643,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Canpark AVM Bahçesi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,YAMANEVLER,29.112622734966664,41.023319911174994,151349724,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Dadaloğlu Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ATAKENT,29.112622734966664,41.023319911174994,151349636,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Zigana Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ATAKENT,29.113813430321425,41.023319911174994,151349640,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
İspark Otoparkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,YAMANEVLER,29.10786011596582,41.02421822234999,151349726,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Endülüs Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,ATAKENT,29.109050827562402,41.02421822234999,151349639,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
İspark Otoparkı Yanı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,YAMANEVLER,29.111432250755566,41.02421822234999,151349728,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Hanımeli Çarşısı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,İSTİKLAL,29.100715911356552,41.02511653352498,151349678,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Orhangazi Parkı,İSTANBUL,KÜÇÜKSU,ÜMRANİYE,YAMANEVLER,29.100715911356552,41.02511653352498,151349723,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Ümraniye Merkez Anadolu Lisesi Bahçesi,İSTANBUL,KÜÇÜKSU,ÜMRANİYE,YAMANEVLER,29.100715911356552,41.02511653352498,151349727,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
75.Yıl Cumhurıyet Lisesi Bahçesi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,İSTİKLAL,29.10190663919569,41.02511653352498,151349677,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Ümraniye Belediyesi Bahçesi,İSTANBUL,ZAFER,ÜMRANİYE,ATATÜRK,29.09714374408243,41.02601484469997,151349762,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
29 Mayıs Üniversitesi Bahçesi,İSTANBUL,ELMALIKENT,ÜMRANİYE,ELMALIKENT,29.098334553142443,41.02781146704996,151349656,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
Yaman Evler Parkı,İSTANBUL,YELKENCİLER,ÜMRANİYE,İNKILAP,29.103097659427327,41.02781146704996,151349664,"[<POLYGON ((29.115 41.022, 29.115 41.023, 29.115 41.023, 29.115 41.023, 29.11...>]"
