tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yavuz Selim Orman Toplanma Alanı,İSTANBUL,TUFAN,SULTANBEYLİ,NECİP FAZIL,29.268864938172587,40.94427601117499,151349190,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Fuat Sezgin Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,SANEM,SULTANBEYLİ,YAVUZ SELİM,29.268864938172587,40.94427601117499,151349187,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Aşık Veysel Parkı,İSTANBUL,SANEM,SULTANBEYLİ,YAVUZ SELİM,29.268864938172587,40.94427601117499,151349324,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Hacı Bektaşı Veli Parkı,İSTANBUL,KARATEPE,SULTANBEYLİ,YAVUZ SELİM,29.27005420725888,40.94427601117499,151349315,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Abdülhakim Arvasi Parkı,İSTANBUL,MESCİDİ AKSA,SULTANBEYLİ,NECİP FAZIL,29.272432745431466,40.94427601117499,151349245,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,MESCİDİ AKSA,SULTANBEYLİ,NECİP FAZIL,29.27362201451776,40.94427601117499,151349246,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Emin Çarlı Parkı,İSTANBUL,SABIR,SULTANBEYLİ,YAVUZ SELİM,29.274811283604052,40.94427601117499,151349314,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Necip Fazıl İmam Hatip Ortaokulu Bahçesi,İSTANBUL,MESCİDİ AKSA,SULTANBEYLİ,NECİP FAZIL,29.27837909086293,40.94427601117499,151349248,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Valide Mehri Hatun Cami Bahçesi,İSTANBUL,ANTALYA,SULTANBEYLİ,ORHANGAZİ,29.281947108425733,40.945174322349985,151349295,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
Anafartalar İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ŞAH ÇIKMAZI,SULTANBEYLİ,FATİH ,29.272432907207374,40.94607263352498,151349222,"[<POLYGON ((29.269 40.943, 29.27 40.944, 29.271 40.944, 29.271 40.944, 29.271...>, <POLYGON ((28.886 41.037, 28.886 41.037, 28.886 41.037, 28.887 41.037, 28.88...>, <POLYGON ((29.153 41.079, 29.154 41.079, 29.154 41.079, 29.154 41.079, 29.15...>, <POLYGON ((28.728 41.205, 28.729 41.205, 28.729 41.204, 28.729 41.204, 28.73...>]"
