tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Atatürk İlkokulu ve Bağcılar Mustafa Kemal Ortaokulu Bahçesi,İSTANBUL,MEHMET AKİF,BAĞCILAR,KİRAZLI,28.84780334380814,41.033082411174995,151345796,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
320 Sokak Kazım Karabekir İlköğretim Tesis Alanı,İSTANBUL,MEHMET AKİF,BAĞCILAR,KAZIM KARABEKİR,28.84780334380814,41.033082411174995,151345860,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Kestane Bahçesi Parkı,İSTANBUL,MEHMET AKİF,BAĞCILAR,YAVUZ SELİM,28.84780334380814,41.033082411174995,151345865,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Cumhuriyet İlkokulu Bahçesi,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,İNÖNÜ,28.848994215712207,41.033082411174995,151345785,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Saraybosna Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,YAVUZ SELİM,28.850185087616275,41.033082411174995,151345864,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Yavuz Selim Cami Yanı Çocuk Parkı,İSTANBUL,1042.,BAĞCILAR,YAVUZ SELİM,28.84780337630778,41.03398072234999,151345866,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Yavuz Sultan Selim Parkı,İSTANBUL,1000.,BAĞCILAR,YAVUZ SELİM,28.852566928923338,41.03398072234999,151345863,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Ertuğrul Gazi Parkı,İSTANBUL,HOCA AHMET YESEVİ,BAĞCILAR,İNÖNÜ,28.852566928923338,41.03398072234999,151345783,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
Bağcılar Meydan (Sancaktepe ortak kullanım) ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,1022.,BAĞCILAR,YAVUZ SELİM,28.853757817077227,41.03398072234999,151346047,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
897. Sokak Yeşil Alan,İSTANBUL,BİRLİK,BAĞCILAR,SANCAKTEPE,28.854948705231116,41.03398072234999,151345813,"[<POLYGON ((28.846 41.041, 28.846 41.041, 28.846 41.041, 28.846 41.04, 28.846...>]"
