tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yavuz Selim Parkı,İSTANBUL,ALTUNCU,ÜSKÜDAR,YAVUZTÜRK ,29.080884344177846,41.03032831117499,151350666,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Yavuztürk Parkı,İSTANBUL,ALTUNCU,ÜSKÜDAR,YAVUZTÜRK ,29.080884344177846,41.03032831117499,151350664,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Denizciler Parkı,İSTANBUL,DARICILAR DERE,ÜMRANİYE,TANTAVİ,29.080884344177846,41.03032831117499,151349800,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Taşlıbayır Parkı,İSTANBUL,BOSNA,ÜSKÜDAR,FERAH ,29.08088437667297,41.03122662234998,151350787,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Mavera Parkı,İSTANBUL,DARICILAR DERE,ÜMRANİYE,TANTAVİ,29.08445689168242,41.03122662234998,151349802,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Kardeş Şehir Geyve Parkı,İSTANBUL,DARICILAR DERE,ÜMRANİYE,TANTAVİ,29.08445689168242,41.03122662234998,151349805,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Şehit Muhammet Parkı,İSTANBUL,DARICILAR DERE,ÜMRANİYE,TANTAVİ,29.085647730018906,41.03122662234998,151349803,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Yıldırım Beyazıt Parkı,İSTANBUL,DARICILAR DERE,ÜMRANİYE,TANTAVİ,29.085647827508687,41.032124933524976,151349806,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Şehit Kader Sivri Ortaokulu Bahçesi,İSTANBUL,GAZANFER,ÜSKÜDAR,YAVUZTÜRK ,29.082075312501452,41.03302324469997,151350890,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Mehmet Akif Ersoy Parkı,İSTANBUL,MEHMET AKİF ERSOY,ÜSKÜDAR,FERAH ,29.079693603334093,41.034819867049954,151350784,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Çiçek Parkı,İSTANBUL,AYDINLIK,ÜSKÜDAR,YAVUZTÜRK ,29.084457216670458,41.034819867049954,151350663,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Gündoğdu Parkı,İSTANBUL,MEHMET AKİF ERSOY,ÜSKÜDAR,FERAH ,29.079693619585335,41.03571817822495,151350782,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Halı Saha(Yavuztürk Mahallesi Tosya Sokak No:9),İSTANBUL,ADANA,ÜSKÜDAR,YAVUZTÜRK ,29.083266378341335,41.03571817822495,151350669,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Prof. Dr. Bekir Topaloğlu Parkı,İSTANBUL,GÖNÜL,ÜMRANİYE,TANTAVİ,29.08803005668267,41.03571817822495,151349804,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Ayvacı Sokak Parkı ve Halısaha,İSTANBUL,ZÜLFİKAR,ÜSKÜDAR,BAHÇELİEVLER,29.079693635837316,41.03661648939994,151576130,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Manolya Parkı,İSTANBUL,BAHÇELER,ÜMRANİYE,ELMALIKENT,29.090412220900276,41.03751480057493,151349655,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Papatya Parkı,İSTANBUL,YAKAMOZ,ÜSKÜDAR,YAVUZTÜRK ,29.086839478404357,41.038413111749925,151350661,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
Alzambak Parkı,İSTANBUL,TÜRKLER,ÜSKÜDAR,YAVUZTÜRK ,29.080884669195342,41.03931142292492,151350662,"[<POLYGON ((29.089 41.052, 29.089 41.052, 29.089 41.053, 29.088 41.053, 29.08...>]"
