tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çanakkale Şehitleri Cami Yanı Parkı,İSTANBUL,MİMAR SİNAN,PENDİK,VELİBABA,29.2604399581353,40.89919221117499,151350327,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Osmangazi İlkokulu Bahçesi,İSTANBUL,MİMAR SİNAN,PENDİK,VELİBABA,29.2604399581353,40.89919221117499,151350331,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Tasdik Sokak Parkı,İSTANBUL,MİMAR SİNAN,PENDİK,VELİBABA,29.2604399581353,40.89919221117499,151350328,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Şehit Murat Çelik Parkı,İSTANBUL,BEZMİALEM,PENDİK,VELİBABA,29.2616284162706,40.89919221117499,151350321,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Şehit Hasan Genç Parkı,İSTANBUL,PEMBE GÜL,PENDİK,YAYALAR,29.2628168744059,40.89919221117499,151350210,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Akın Sokak Parkı,İSTANBUL,PEMBE GÜL,PENDİK,YAYALAR,29.2628168744059,40.89919221117499,151350207,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Busenaz Sürmeneli Spor Kompleksi ve Çevresi,İSTANBUL,PEMBE GÜL,PENDİK,YAYALAR,29.2628168744059,40.89919221117499,151439559,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Mete Gazoz Spor Kompleksi Yanı Park,İSTANBUL,ANKARA,PENDİK,GÜLLÜ BAĞLAR,29.2651937906765,40.89919221117499,151350237,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Şehit Mustafa Piroğlu Parkı,İSTANBUL,ANKARA,PENDİK,GÜLLÜ BAĞLAR,29.269947623217696,40.89919221117499,151350236,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Barbaros Hayrettin Paşa Caddesi 1196 Parsel (Kamu Arazisi),İSTANBUL,YAYALAR,PENDİK,YAYALAR,29.266382442502344,40.90098883352498,151350208,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Pendik Mesleki ve Teknik Anadolu Lisesi Antrenman Sahası,İSTANBUL,ANKARA,PENDİK,GÜLLÜ BAĞLAR,29.27232489458763,40.90098883352498,151350240,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Pendik İMKB Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ANKARA,PENDİK,GÜLLÜ BAĞLAR,29.273513772420824,40.90278545587496,151350239,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Rahmet Tepesi,İSTANBUL,MÜSTAKBEL,PENDİK,VELİBABA,29.26162857769034,40.903683767049955,151350326,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Toki Parkı ve Spor Sahaları,İSTANBUL,EVLİYA ÇELEBİ,PENDİK,SÜLÜNTEPE,29.273514159872004,40.90458207822495,151350338,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Lütfi Doğan Kız Anadolu İmam Hatip Lisesi Bahçesi ve Karşısı,İSTANBUL,BARBAROS HAYRETTİNPAŞA,PENDİK,YAYALAR,29.26281726183958,40.90637870057493,151350295,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
10251 Ada 2 Parsel Kamuya Ait Hisseli Boş Arazi,İSTANBUL,EVLİYA ÇELEBİ,PENDİK,SÜLÜNTEPE,29.273514741114578,40.907277011749926,151350339,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Velibaba Parkı,İSTANBUL,ERTUĞRULGAZİ,PENDİK,VELİBABA,29.260440119573307,40.90817532292492,151350329,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Yeni Ay Sokak Parkı,İSTANBUL,YUNUS EMRE,PENDİK,ŞEYHLİ,29.274703554452973,40.90817532292492,151350357,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Salı Pazarı Kurulan Alan,İSTANBUL,SELİM,PENDİK,SÜLÜNTEPE,29.273515322436108,40.909971945274904,151350340,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
Sülüntepe Parkı,İSTANBUL,RAHMET,PENDİK,SÜLÜNTEPE,29.274703974305783,40.909971945274904,151350335,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
"0 Ada, 811 Parsel Kamuya Ait Hisseli Boş Arazi",İSTANBUL,SELİM,PENDİK,SÜLÜNTEPE,29.272326848208543,40.9108702564499,151350383,"[<POLYGON ((29.277 40.904, 29.278 40.904, 29.277 40.905, 29.275 40.905, 29.27...>]"
