tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Behiye Dr. Nevhir Anadolu Lisesi Bahçesi,İSTANBUL,HACILAR,TUZLA,POSTANE,29.302868958872594,40.82299871117499,151349602,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Yayla Yolu Parkı,İSTANBUL,HACILAR,TUZLA,POSTANE,29.302868958872594,40.82299871117499,151349599,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Sümer Parkı,İSTANBUL,HACILAR,TUZLA,POSTANE,29.302868958872594,40.82299871117499,151349597,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Zeytinlik Parkı ve Çevresi,İSTANBUL,BİRGÜL,TUZLA,YAYLA,29.30286903926601,40.82389702234998,151349520,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Derya Parkı,İSTANBUL,HACILAR,TUZLA,POSTANE,29.30168199573044,40.824795333524975,151349584,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Cevher Parkı,İSTANBUL,YAYLA YOLU,TUZLA,POSTANE,29.30405624359566,40.824795333524975,151349583,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Yıldırım Beyazıd Parkı,İSTANBUL,YAYLA YOLU,TUZLA,POSTANE,29.30524348008925,40.82569364469997,151349600,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Mavi Evler Parkı,İSTANBUL,TAŞKIRAN,TUZLA,YAYLA,29.30168212437446,40.82659195587496,151349514,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Org. Eşref Bitlis Parkı,İSTANBUL,YILDIZLAR,TUZLA,POSTANE,29.30761790484253,40.82659195587496,151349593,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
Borsa Kent Parkı,İSTANBUL,FEVZİ ÇAKMAK,TUZLA,İSTASYON,29.308805060936145,40.82659195587496,151349563,"[<POLYGON ((29.323 40.837, 29.312 40.842, 29.311 40.84, 29.31 40.84, 29.309 4...>, <POLYGON ((28.974 41.046, 28.974 41.046, 28.974 41.046, 28.975 41.046, 28.97...>, <POLYGON ((28.833 41.134, 28.834 41.134, 28.835 41.135, 28.835 41.135, 28.83...>]"
