tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Marmara Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,İMARET,KÜÇÜKÇEKMECE,CENNET,28.772374522437005,40.991606611174994,151350050,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Remzi Yurtsever İlkokulu Bahçesi,İSTANBUL,İMARET,KÜÇÜKÇEKMECE,CENNET,28.772374522437005,40.991606611174994,151350051,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Hüdai Bukağılı Parkı,İSTANBUL,İMARET,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.772374522437005,40.991606611174994,151350125,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Küçükçekmece Anadolu Lisesi Bahçesi,İSTANBUL,TÜRBE,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.77356464487401,40.991606611174994,151349917,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Yeşilyuva Ortaokulu Bahçesi,İSTANBUL,İMARET,KÜÇÜKÇEKMECE,CENNET,28.775944889748022,40.991606611174994,151350053,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Şehit Şenol Ergün Parkı,İSTANBUL,İMARET,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.775944889748022,40.991606611174994,151349918,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Şerife Bacı Parkı,İSTANBUL,2507.,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.772374538652873,40.99250492234999,151349915,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
75. Yıl Cumhuriyet Parkı,İSTANBUL,İNÖNÜ,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.773564742173622,40.99430154469997,151349914,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Behiye Selim Pars Ortaokulu Bahçesi,İSTANBUL,MİMAR SİNAN,KÜÇÜKÇEKMECE,CENNET,28.777135255434057,40.99430154469997,151350044,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Tepeüstü Meydan,İSTANBUL,CENGİZ,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.774754961914656,40.995199855874965,151349916,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Şair Nedim Parkı,İSTANBUL,ŞEHİT ŞENOL ERGUN,KÜÇÜKÇEKMECE,CENNET,28.77951582466584,40.99609816704996,151350043,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Yenimahalle İlkokulu ve Anasınıfı Bahçesi,İSTANBUL,1.SEL,KÜÇÜKÇEKMECE,YENİ MAHALLE,28.78070615794586,40.99699647822495,151349919,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
Halide Edip Adıvar Ortaokulu Bahçesi,İSTANBUL,İNÖNÜ,KÜÇÜKÇEKMECE,CUMHURİYET,28.779516165291625,40.998793100574936,151349963,"[<POLYGON ((28.783 40.998, 28.783 40.998, 28.783 40.998, 28.783 40.998, 28.78...>, <POLYGON ((29.227 40.88, 29.227 40.88, 29.228 40.88, 29.23 40.88, 29.232 40....>, <POLYGON ((28.892 41.084, 28.892 41.083, 28.892 41.082, 28.893 41.081, 28.89...>, <POLYGON ((29.074 41.073, 29.073 41.072, 29.073 41.072, 29.073 41.072, 29.07...>, <POLYGON ((28.24 41.079, 28.24 41.079, 28.241 41.079, 28.241 41.078, 28.242 ...>, <POLYGON ((29.067 41.172, 29.068 41.173, 29.068 41.173, 29.068 41.173, 29.06...>]"
