tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bağcılar Anadolu Lisesi Bahçesi,İSTANBUL,KUYULU,BAĞCILAR,YILDIZTEPE,28.860764622165046,41.018453911174994,151345990,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Hazım Ersu İlkokulu Bahçesi,İSTANBUL,BAĞCILAR,BAHÇELİEVLER,CUMHURİYET,28.860764622165046,41.018453911174994,151346099,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Yıldıztepe İlkokulu Bahçesi,İSTANBUL,KUYULU,BAĞCILAR,YILDIZTEPE,28.860764622165046,41.018453911174994,151345992,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Hoca Ahmet Yesevi Ortaokulu Bahçesi,İSTANBUL,KIBRIS,BAĞCILAR,YILDIZTEPE,28.859574047252373,41.01935222234999,151345991,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Kemal Kaya İlkokulu Bahçesi,İSTANBUL,588.,GÜNGÖREN,MAREŞAL ÇAKMAK,28.861955294504746,41.01935222234999,151347921,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Şehit Piyade Er Hasan Sorma Parkı,İSTANBUL,BERRAK,GÜNGÖREN,GÜNEŞTEPE,28.861955359459024,41.02025053352498,151347945,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Abdullah Hürcan Parkı,İSTANBUL,624.,BAĞCILAR,YENİGÜN,28.858383472344105,41.022047155874965,151346006,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Ahmet Ziyaüddin Gümüşhanevi Parkı,İSTANBUL,634.,BAĞCILAR,YENİGÜN,28.85838348858488,41.02294546704996,151346007,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Burak Sokak Otopark,İSTANBUL,KUTSAL,GÜNGÖREN,GÜNEŞTEPE,28.859574177169762,41.02294546704996,151347951,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Ömer Dinçer Ortaokulu Bahçesi,İSTANBUL,KUTSAL,GÜNGÖREN,GÜNEŞTEPE,28.860764865754643,41.02294546704996,151347949,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Şehit Özcan Canik Parkı  (Güngören İlçesinde),İSTANBUL,KUTSAL,GÜNGÖREN,GÜNEŞTEPE,28.85838353731163,41.025640400574936,151347942,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
Cumhuriyet Parkı,İSTANBUL,BAĞCILAR,BAĞCILAR,YILDIZTEPE,28.85838355355535,41.02653871174993,151345987,"[<POLYGON ((28.857 41.027, 28.857 41.027, 28.857 41.026, 28.857 41.025, 28.85...>]"
