tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cumhuriyet Meydanı,İSTANBUL,606.,ESENYURT,SULTANİYE,28.679970546188038,41.035486611174996,151347483,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Yenikent Azeri Camii Avlusu,İSTANBUL,668.,ESENYURT,YENİKENT,28.679970546188038,41.035486611174996,151347416,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Esenyurt Anadolu Lisesi Bahçesi,İSTANBUL,DOĞAN ARASLI,ESENYURT,FATİH,28.679970546188038,41.035486611174996,151347388,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
659. Sokak Parkı,İSTANBUL,AŞIK ŞENLİK,ESENYURT,SULTANİYE,28.681161526591207,41.03638492234999,151347372,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Yenikent Kültür Merkezi,İSTANBUL,DOĞAN ARASLI,ESENYURT,YENİKENT,28.678779695800653,41.03728323352498,151347415,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Yonca Sokak Parkı,İSTANBUL,AŞIK ŞENLİK,ESENYURT,SULTANİYE,28.682352539501633,41.03728323352498,151347371,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Yenikent İlkokulu Bahçesi ,İSTANBUL,676.,ESENYURT,YENİKENT,28.67877976081517,41.03907985587497,151347417,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
75.Yıl Parkı,İSTANBUL,676.,ESENYURT,YENİKENT,28.67877976081517,41.03907985587497,151347414,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Emin Batmazoğlu Parkı,İSTANBUL,AŞIK ŞENLİK,ESENYURT,SULTANİYE,28.685925643260685,41.03907985587497,151347370,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Karanfil Parkı,İSTANBUL,HACI BEKTAŞ VELİ,ESENYURT,SÜLEYMANİYE,28.67758879666232,41.03997816704996,151347381,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
764. Sokak Parkı,İSTANBUL,HACI BEKTAŞ VELİ,ESENYURT,SÜLEYMANİYE,28.68592577329856,41.03997816704996,151347383,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Defne Parkı,İSTANBUL,HACI BEKTAŞ VELİ,ESENYURT,SÜLEYMANİYE,28.68711676996088,41.03997816704996,151347382,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
Sarmaşık Parkı,İSTANBUL,HACI BEKTAŞ VELİ_1,ESENYURT,ARDIÇLI,28.677588829174,41.041774789399945,151347441,"[<POLYGON ((28.688 41.04, 28.687 41.041, 28.686 41.041, 28.685 41.041, 28.684...>]"
