tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Teke A.K.A-Tapulama Harici Alan,İSTANBUL,OSMANOĞLU ŞEHİT AHMET,ŞİLE,TEKE,29.630714223088745,41.08003931117499,151348974,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Ovacık Camii ve Park Alanı,İSTANBUL,AKSOY,ŞİLE,OVACIK,29.630714223088745,41.08003931117499,151348995,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Yaylalı Park Alanı ve Meydan,İSTANBUL,ARAS,ŞİLE,YAYLALI,29.630714223088745,41.08003931117499,151349006,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Yazımanayır Cami Bahçesi,İSTANBUL,ELMA TARLASI,ŞİLE,YAZIMANAYIR,29.65216568072239,41.080937622349985,151348999,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Yeniköy S.T.K Alanı,İSTANBUL,BAFRA,ŞİLE,YENİKÖY,29.637865078181136,41.08183593352498,151348979,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Karabeyli Muhtarlık Binası ve Köy Konağı,İSTANBUL,KIŞLAK,ŞİLE,KARABEYLİ,29.69747648659063,41.10159877937482,151349044,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Osmanköy Camii ve Meydan,İSTANBUL,IŞIL,ŞİLE,OSMANKÖY,29.701052826890205,41.10159877937482,151349041,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Kabakoz Köy Meydanı,İSTANBUL,AT ÇİFLİĞİ,ŞİLE,KABAKOZ,29.692709043834938,41.10249709054981,151349010,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Akçakese Basketbol Sahası,İSTANBUL,AKÇAKESE,ŞİLE,AKÇAKESE,29.698672970350813,41.10519202407479,151349038,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Çayırbaşı Fatma Seher Ortaokulu ve Bahçesi,İSTANBUL,SEÇİM,ŞİLE,ÇAYIRBAŞI,29.63668237153063,41.11507344699971,151349035,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Eski Halk Eğitim Merkezi,İSTANBUL,KÖYBAŞI,SARIYER,YENİKÖY,29.062186500375756,41.114170311174995,151348796,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Albay Osman Parkı,İSTANBUL,KÖYBAŞI,SARIYER,YENİKÖY,29.062186500375756,41.114170311174995,151348790,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Otopark ve Go Kart Alanı,İSTANBUL,KÖYBAŞI,SARIYER,İSTİNYE,29.062186500375756,41.114170311174995,151348808,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Muhtar Sebahattin Çapoğlu Parkı,İSTANBUL,DOKTOR CEVAT KERİM İNCEDAYI,SARIYER,YENİKÖY,29.059802143315768,41.11596693352498,151348791,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
Yunus Sokak Alan 2,İSTANBUL,KÖYBAŞI,SARIYER,YENİKÖY,29.0633792663105,41.11596693352498,151348793,"[<POLYGON ((29.666 41.138, 29.665 41.138, 29.663 41.138, 29.662 41.138, 29.66...>, <POLYGON ((29.05 41.129, 29.049 41.129, 29.049 41.129, 29.048 41.129, 29.048...>, <POLYGON ((28.674 41.3, 28.675 41.3, 28.675 41.299, 28.675 41.298, 28.676 41...>]"
