tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şeyh Edebali Anadolu Lisesi Bahçesi,İSTANBUL,TAVUKÇU KÖPRÜ,BAĞCILAR,YENİMAHALLE,28.8349656004641,41.038787411174994,151345912,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Mehmet Akif İnan Ortaokulu Bahçesi,İSTANBUL,TAVUKÇU KÖPRÜ,BAĞCILAR,YENİMAHALLE,28.8349656004641,41.038787411174994,151345910,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Kirazlı Merkez Cami Yanı Otopark,İSTANBUL,TAVUKÇU KÖPRÜ,BAĞCILAR,KİRAZLI,28.8349656004641,41.038787411174994,151345801,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Ramazan Sarıkaya Parkı,İSTANBUL,DÖKÜMCÜLER,BAĞCILAR,YENİMAHALLE,28.836156575580123,41.038787411174994,151345903,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Öznur Kahraman İmam Hatip Ortaokulu Bahçesi,İSTANBUL,TAVUKÇU KÖPRÜ,BAĞCILAR,KİRAZLI,28.837347550696148,41.038787411174994,151345800,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Abdurrahman-Nermin Bilimli Anaokulu Bahçesi,İSTANBUL,1529.,BAĞCILAR,YENİMAHALLE,28.837347550696148,41.038787411174994,151345906,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Arif Nihat Asya İlkokulu Bahçesi,İSTANBUL,1532.,BAĞCILAR,YENİMAHALLE,28.838538525812172,41.038787411174994,151345907,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Koca Yusuf Parkı,İSTANBUL,MAHMUTBEY,BAĞCILAR,GÜNEŞLİ,28.833774674111563,41.03968572234999,151345886,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Halk Sarayı Yanı Açık Otopark,İSTANBUL,MAHMUTBEY,BAĞCILAR,YENİMAHALLE,28.834965665482084,41.03968572234999,151345901,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Fındık Bahçesi,İSTANBUL,1534.,BAĞCILAR,YENİMAHALLE,28.839729630964168,41.03968572234999,151345899,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Vakıflar Ortaokulu Bahçesi,İSTANBUL,TAVUKÇU KÖPRÜ,BAĞCILAR,KİRAZLI,28.84211161370521,41.03968572234999,151345799,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
Namık Kemal Parkı,İSTANBUL,TAVUKÇU KÖPRÜ,BAĞCILAR,KİRAZLI,28.84211161370521,41.03968572234999,151345793,"[<POLYGON ((28.833 41.041, 28.834 41.038, 28.834 41.038, 28.835 41.038, 28.83...>, <POLYGON ((28.885 40.982, 28.884 40.982, 28.882 40.982, 28.881 40.982, 28.88...>, <POLYGON ((28.466 41.025, 28.467 41.024, 28.468 41.024, 28.468 41.023, 28.46...>]"
