tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Erguvan Parkı,İSTANBUL,MÜMİN DERESİ,KADIKÖY,SAHRAYICEDİT,29.0898109258954,40.98632761117499,151348144,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Esin Işık Parkı,İSTANBUL,MÜMİN DERESİ,KADIKÖY,SAHRAYICEDİT,29.0898109258954,40.98632761117499,151348142,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Arapgirli Parkı.,İSTANBUL,MÜMİN DERESİ,KADIKÖY,SAHRAYICEDİT,29.0898109258954,40.98632761117499,151348147,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Habire Yahşi Anadolu Lisesi Bahçesi,İSTANBUL,YAVUZ SELİM,ATAŞEHİR,BARBAROS,29.09100095305335,40.98632761117499,151345577,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Yeni Sahra Öğretmen Nuriye Duriye Endürüst  Ortaokulu Bahçesi,İSTANBUL,İSTİKLAL,ATAŞEHİR,YENİSAHRA,29.087431033695047,40.987225922349985,151345595,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Hilton Otel Yanı Parkı,İSTANBUL,MÜMİN DERESİ,KADIKÖY,SAHRAYICEDİT,29.087431033695047,40.987225922349985,151348145,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
 Kavşak Parkı (Barbaros  Mah. Paladyum AVM Yanı),İSTANBUL,SÜTÇÜ YOLU,ATAŞEHİR,BARBAROS,29.094571293912075,40.987225922349985,151345575,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Doğa Parkı,İSTANBUL,BATMAN,KADIKÖY,SAHRAYICEDİT,29.08505107665433,40.98812423352498,151348141,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
İpek Parkı,İSTANBUL,AKLALE,ATAŞEHİR,YENİSAHRA,29.089811314981496,40.98812423352498,151345593,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Yeni Sahra Spor Kulübü,İSTANBUL,ÇEVİK,ATAŞEHİR,YENİSAHRA,29.09338149372687,40.98812423352498,151345594,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Şehit Jandarma Er Fatih Çaybaşı Parkı,İSTANBUL,ERCÜMENT BATANAY,ATAŞEHİR,ÖRNEK,29.08267105476888,40.98902254469997,151345483,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Merdivenköy Koru Parkı,İSTANBUL,SEYRAN,KADIKÖY,SAHRAYICEDİT,29.08267105476888,40.98902254469997,151348146,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Merdivenköy Parkı,İSTANBUL,BATMAN,KADIKÖY,SAHRAYICEDİT,29.08029096803427,40.98992085587496,151348143,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Eylül Parkı,İSTANBUL,BORA,KADIKÖY,MERDİVENKÖY,29.077910816446114,40.990819167049956,151348155,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Dr. Suphi Ezgi Sokak Parkı,İSTANBUL,ERCÜMENT BATANAY,ATAŞEHİR,ÖRNEK,29.077910816446114,40.990819167049956,151345484,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Defne Parkı,İSTANBUL,BARBAROS,ATAŞEHİR,BARBAROS,29.092192796193068,40.993514100574934,151345568,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
Kemal Paşa Parkı,İSTANBUL,3004.,ATAŞEHİR,AŞIKVEYSEL,29.09219302323705,40.99441241174993,151345563,"[<POLYGON ((29.09 40.995, 29.089 40.994, 29.089 40.994, 29.089 40.994, 29.089...>]"
