tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Mehmet Rıfat Yalman İlkokulu Bahçesi,İSTANBUL,TAŞÇI,KAĞITHANE,SULTAN SELİM,28.99763013585955,41.09358111117499,151348346,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Polis Karakolu Yanı,İSTANBUL,TAŞÇI,KAĞITHANE,SULTAN SELİM,28.99763013585955,41.09358111117499,151348343,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Halil Rahman Parkı,İSTANBUL,AYDINLAR,KAĞITHANE,YEŞİLCE,28.99763013585955,41.09358111117499,151348189,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Mehdi Sancak Stadyumu,İSTANBUL,BAĞIŞ,KAĞITHANE,YEŞİLCE,29.000014071719097,41.09358111117499,151348190,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Profilo Barış İmam Hatip Ortaokulu Bahçesi,İSTANBUL,BAĞIŞ,KAĞITHANE,SULTAN SELİM,29.00120603964887,41.09358111117499,151348344,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Yaşar Doğu Parkı,İSTANBUL,YUNUS EMRE,KAĞITHANE,SULTAN SELİM,29.002398007578645,41.09358111117499,151348338,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Sanayi Metro Çıkışı Yeşil Alanı,İSTANBUL,BÜYÜKDERE,ŞİŞLİ,ESENTEPE,29.00358997550842,41.09358111117499,151348203,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Kızıl Elma Parkı,İSTANBUL,TAŞÇI,KAĞITHANE,SULTAN SELİM,28.99643818422926,41.094479422349984,151348340,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Seyrantepe Anadolu Parkı,İSTANBUL,KAĞITHANE BARBAROS,KAĞITHANE,SEYRANTEPE,28.99643818422926,41.094479422349984,151348259,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
Kemal Halil Tanır Bilgi Teknoloji İlkokulu Bahçesi,İSTANBUL,KAĞITHANE BARBAROS,KAĞITHANE,SEYRANTEPE,28.997630233660896,41.09627604469997,151348265,"[<POLYGON ((28.995 41.096, 28.995 41.095, 28.996 41.094, 28.997 41.094, 28.99...>]"
