tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Naime Sokak Parkı,İSTANBUL,BUKETLİ,BAKIRKÖY,YEŞİLKÖY,28.816071017079725,40.955419611174996,151346269,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Aile Sosyal Politikalar Bakanlığı Çocuk Destek Eğitim Merkezi Bahçesi,İSTANBUL,BUKETLİ,BAKIRKÖY,YEŞİLKÖY,28.816071017079725,40.955419611174996,151346273,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Şehit Pilot Muzaffer Erdönmez Ortaokulu Bahçesi,İSTANBUL,BUKETLİ,BAKIRKÖY,YEŞİLKÖY,28.816071017079725,40.955419611174996,151346279,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Yeşilköy 50. Yil Anadolu Lisesi Bahçesi,İSTANBUL,GÜLNİHAL,BAKIRKÖY,YEŞİLKÖY,28.81844995671469,40.955419611174996,151346277,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Ukrayna Parkı,İSTANBUL,LİMAN,BAKIRKÖY,YEŞİLKÖY,28.820828896349656,40.955419611174996,151346270,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Bakırköy Nüket Ercan Mesleki Ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,MEHMET AKİF ERSOY,BAKIRKÖY,YEŞİLKÖY,28.83034465488952,40.955419611174996,151346276,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Hamdullah Suphi Tanrıöver İlkokulu Bahçesi,İSTANBUL,MEHMET AKİF ERSOY,BAKIRKÖY,YEŞİLKÖY,28.83034465488952,40.955419611174996,151346272,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
İBB Florya Sosyal Tesisleri Otoparkı,İSTANBUL,BUKETLİ,BAKIRKÖY,YEŞİLKÖY,28.813692304053138,40.95631792234999,151346275,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Deniz Aktaş Parkı,İSTANBUL,MEHMET AKİF ERSOY,BAKIRKÖY,YEŞİLKÖY,28.82915562210248,40.95631792234999,151346267,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
Yeşilköy Anadolu Lisesi Bahçesi,İSTANBUL,PAPATYA,BAKIRKÖY,YEŞİLKÖY,28.832724080113866,40.95631792234999,151346323,"[<POLYGON ((28.84 40.982, 28.841 40.982, 28.841 40.982, 28.84 40.983, 28.84 4...>]"
