tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Arnavutköy Semt Parkı (Aynı Zamanda TRANSFER ALANIDIR),İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,ANADOLU,28.75087020826516,41.175323011174996,151345430,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Şehit Er Muhammer Kavis Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,ANADOLU,28.75087020826516,41.175323011174996,151441190,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Hasan Kayım Parkı,İSTANBUL,ESKİ EDİRNE ASFALTI,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,28.75087020826516,41.175323011174996,151345459,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Yunus Emre Parkı,İSTANBUL,30 AĞUSTOS,ARNAVUTKÖY,YUNUS EMRE,28.753257116530317,41.175323011174996,151345363,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Anadolu Parkı.,İSTANBUL,DİRLİK,ARNAVUTKÖY,ANADOLU,28.752063711498355,41.17622132234999,151441194,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Aşık Veysel Parkı,İSTANBUL,DİRLİK,ARNAVUTKÖY,ANADOLU,28.75564412299671,41.17622132234999,151345429,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Yaren Sokak Yeşil Alan,İSTANBUL,MİLLİ EGEMENLİK,ARNAVUTKÖY,YUNUS EMRE,28.758031325883334,41.178017944699974,151441274,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Şehit Er Tuncay Türken Parkı,İSTANBUL,MİLLİ EGEMENLİK,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,28.75922482911875,41.178017944699974,151345468,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Şehit Polis Fatih Havuz Parkı,İSTANBUL,SEYİR,ARNAVUTKÖY,YUNUS EMRE,28.7592251237692,41.17981456704996,151345362,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
Şirindere Caddesi Rekrasyon Alanı Yeşil Alan,İSTANBUL,BAĞÇEŞME,ARNAVUTKÖY,YUNUS EMRE,28.760419478346908,41.18430612292492,151441275,"[<POLYGON ((28.752 41.174, 28.753 41.174, 28.753 41.174, 28.753 41.174, 28.75...>, <POLYGON ((28.907 41.091, 28.907 41.091, 28.906 41.092, 28.906 41.093, 28.90...>, <POLYGON ((29.254 41.013, 29.255 41.015, 29.255 41.015, 29.255 41.015, 29.25...>, <POLYGON ((28.693 41.029, 28.692 41.029, 28.692 41.029, 28.692 41.028, 28.69...>]"
