tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pendik Merkez İmam Hatip Okulu Bahçesi,İSTANBUL,YUNUS,PENDİK,SAPAN BAĞLARI,29.215851273011314,40.88254331117499,151350166,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Pendik Veterinerlik Enstitüsü,İSTANBUL,YUNUS,PENDİK,BATI,29.215851273011314,40.88254331117499,151350279,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Sema Sokak Halı Saha,İSTANBUL,YUNUS,PENDİK,SAPAN BAĞLARI,29.215851273011314,40.88254331117499,151350164,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Emir Sencer Ortaokulu Bahçesi,İSTANBUL,FABRİKALAR,KARTAL,YUNUS,29.21347505152036,40.883441622349984,151348390,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Yunus Nur Cami Bahçesi,İSTANBUL,USTA,KARTAL,YUNUS,29.211098765524415,40.88433993352498,151348396,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Kartal Yunus Stadı,İSTANBUL,USTA,KARTAL,YUNUS,29.211098765524415,40.88433993352498,151348392,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Bosnalı Şehit Çocukları Parkı,İSTANBUL,ARŞIN,PENDİK,SAPAN BAĞLARI,29.21585153104883,40.88433993352498,151350162,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Atatürk İlköğretim Okulu Bahçesi,İSTANBUL,DÜZOVA,PENDİK,SAPAN BAĞLARI,29.218227913811038,40.88433993352498,151350165,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Çetin Emeç Bulvarı,İSTANBUL,SANAYİ,KARTAL,KORDONBOYU,29.20753422363871,40.88613655587496,151348502,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Şehit Mustafa Piroğlu Parkı,İSTANBUL,ULUNAY,KARTAL,YUNUS,29.214663678380266,40.887034867049955,151348394,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Saadet Çocuk Parkı,İSTANBUL,YOĞUN,PENDİK,SAPAN BAĞLARI,29.218228397686094,40.887034867049955,151350163,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Şehit Ütğm Gökhan Yavuz Parkı,İSTANBUL,HUDUT,KARTAL,YALI,29.218228558992404,40.88793317822495,151348500,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Yusuf Akçura  Parkı,İSTANBUL,SANAYİ,KARTAL,YUNUS,29.207534304295507,40.890628111749926,151348393,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Atatürk Parkı,İSTANBUL,SIRÇA,KARTAL,YUNUS,29.21466413006855,40.890628111749926,151348388,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Kartal Atatürk İlkokulu Bahçesi,İSTANBUL,MEHTER,KARTAL,YUNUS,29.209911058095038,40.893323045274904,151348391,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Kıbrıs Şehitleri Cami Bahçesi,İSTANBUL,SARIKÖY,KARTAL,TOPSELVİ,29.207534368834086,40.8942213564499,151348541,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Şehit İbrahim Doğan Parkı,İSTANBUL,KUBİLAY,KARTAL,TOPSELVİ,29.213476309823324,40.89511966762489,151348542,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
Fatin Rüştü Zorlu Anadolu Lisesi Bahçesi,İSTANBUL,SEÇENLER,KARTAL,TOPSELVİ,29.20753444952374,40.89871291232486,151348540,"[<POLYGON ((29.21 40.899, 29.21 40.899, 29.21 40.9, 29.21 40.9, 29.21 40.901,...>]"
