tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Uğur Mumcu Meydanı-Sinanpaşa Cami Bahçesi,İSTANBUL,ÇİĞDEM,BEŞİKTAŞ,SİNANPAŞA,29.008537632819113,41.04197621117499,151346449,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Abbasağa Parkı,İSTANBUL,BEŞİKTAŞ,BEŞİKTAŞ,CİHANNÜMA,29.008537632819113,41.04197621117499,151346479,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Yahya Kemal Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,BEŞİKTAŞ,BEŞİKTAŞ,CİHANNÜMA,29.008537632819113,41.04197621117499,151346470,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Yıldız Parkı,İSTANBUL,ÇIRAĞAN,BEŞİKTAŞ,YILDIZ,29.010919698457336,41.04197621117499,151346448,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Fındık Fatma Parkı,İSTANBUL,PALANGA,BEŞİKTAŞ,MECİDİYE,29.016875122672555,41.043772833524976,151346476,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Emin Vakfı Korusu,İSTANBUL,DEREBOYU,BEŞİKTAŞ,ORTAKÖY,29.020448676371657,41.04556945587496,151346460,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Cihannüma Parkı,İSTANBUL,SERENCEBEY YOKUŞU,BEŞİKTAŞ,CİHANNÜMA,29.014493284672152,41.046467767049954,151346471,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Yenidoğan Sok. Parkı,İSTANBUL,BARBAROS,BEŞİKTAŞ,DİKİLİTAŞ,29.014493577379685,41.04916270057493,151346439,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Eren Sokak Yeşil alanı,İSTANBUL,BARBAROS,BEŞİKTAŞ,DİKİLİTAŞ,29.009729055906096,41.0527559452749,151346442,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Balmumcu Parkı,İSTANBUL,MUSTAFA İZZET EFENDİ,BEŞİKTAŞ,BALMUMCU,29.01568519567133,41.0527559452749,151346444,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
Manolya Parkı,İSTANBUL,BARBAROS,BEŞİKTAŞ,DİKİLİTAŞ,29.009729088438004,41.053654256449896,151346443,"[<POLYGON ((29.008 41.041, 29.008 41.041, 29.009 41.041, 29.009 41.041, 29.01...>]"
